Latitude;Longitude;10Be concentration [×10^4 atoms g-1];10Be concentration [×10^4 atoms g-1] - error;d18O
-74.445;-11.593;2.86;0.11;-27.44
-74.759;-12.405;2.29;0.09;-27.47
-75;-10.001;1.63;0.07;-31.06
-75.023;-8.825;1.96;0.08;-31.44
-75.042;-7.256;3.75;0.14;-39.1
-75.054;-4.741;3.85;0.12;-44.16
-75.03;-1.671;3.28;0.11;-34.74
-75.007;0.067;3.39;0.14;-37.01
-75.108;3.149;4.48;0.16;-38.36
-75.167;6.495;2.52;0.09;-37.28
-74.92;9.816;3.35;0.12;-39.63
-74.78;11.402;3.35;0.12;-37.08
-74.735;13.57;3.39;0.12;-39.1
-75.057;16.553;3.64;0.11;-43.36
-75.984;24.152;4.43;0.11;-46.71
-75.901;21.111;4.46;0.11;-46.04
-75.654;19.241;5.82;0.15;-48.09
-75.287;18.421;3.27;0.1;-48
-75.029;16.335;2.15;0.07;-37.43
-74.92;15.277;2.49;0.07;-38.66
-74.862;14.742;1.9;0.06;-36.14
-74.969;12.886;1.82;0.06;-34.86
-75.107;9.963;2.39;0.08;-37.2
-75.163;7.001;2.5;0.08;-33.71
-75.166;5.001;3.51;0.1;-38.17
-75.072;2.139;4.46;0.11;-36.76
-75.03;-1.672;4.07;0.1;-40.49
-75.054;-5.541;4.14;0.1;-36.26
-75.027;-8.457;3.86;0.1;-35.68
-74.999;-10.004;1.45;0.05;-35.09
-74.999;-10.004;3.3;0.08;-32.51
-74.999;-10.004;1.85;0.06;-34.61
-74.999;-10.004;1.73;0.06;-36.03
-74.999;-10.004;1.75;0.06;-31.3
-74.999;-10.004;1.54;0.05;-28.07
-74.999;-10.004;3.84;0.1;-33.31
-74.999;-10.004;3.12;0.1;-32.73
-74.999;-10.004;1.89;0.06;-30.05
-74.818;-12.303;3.89;0.1;-27.97
-73.958;-12.089;3.35;0.1;-25.08
-73.28;-13.132;2.01;0.07;-21.32
-73.105;-13.164;3.15;0.1;-21.65
