Site;Latitude;Longitude;Elevation (m);Sampling date;10Be concentration (104 atoms/g);1s error (104 atoms/g);d18O (permil)
S19;-69.00;40.13;571;12/11/2017;0.45;0.04;-14.02
H42;-69.13;40.90;1091;13/11/2017;0.37;0.03;-17.26
H192;-69.63;42.10;1550;15/11/2017;2.54;0.12;-26.87
Z22;-70.18;43.42;1995;22/11/2017;1.54;0.09;-31.37
NMD14;-70.72;44.25;2221;24/11/2017;1.43;0.07;-33.55
NMD104;-71.53;44.10;2475;26/11/2017;1.41;0.08;-33.27
NMD164;-71.97;44.20;2636;27/11/2017;1.52;0.08;-35.42
NMD224;-72.47;44.20;2837;28/11/2017;2.22;0.12;-38.01
NMD284;-72.93;43.85;3004;29/11/2017;2.04;0.08;-39.98
NMD334;-73.32;43.72;3138;30/11/2017;2.15;0.09;-42.36
NMD424;-73.95;42.95;3297;01/12/2017;2.08;0.09;-44.25
MD418;-74.50;42.63;3440;04/12/2017;3.37;0.10;-45.23
MD428;-74.58;42.57;3450;04/12/2017;2.00;0.10;-46.72
MD438;-74.68;42.50;3470;04/12/2017;2.67;0.10;-46.91
MD448;-74.77;42.42;3484;05/12/2017;1.46;0.07;-48.16
MD458;-74.85;42.35;3497;05/12/2017;2.55;0.09;-49.85
MD468;-74.95;42.27;3512;05/12/2017;2.18;0.09;-49.05
MD478;-75.03;42.18;3539;05/12/2017;2.50;0.09;-49.25
MD488;-75.12;42.10;3535;05/12/2017;2.73;0.10;-48.97
MD498;-75.22;42.03;3541;05/12/2017;2.69;0.09;-49.66
MD508;-75.30;41.95;3569;06/12/2017;3.14;0.15;-48.17
MD518;-75.38;41.85;3561;06/12/2017;2.93;0.16;-50.22
MD528;-75.48;41.75;3575;06/12/2017;2.95;0.14;-50.15
MD538;-75.57;41.67;3584;06/12/2017;2.59;0.13;-49.60
MD548;-75.65;41.57;3596;06/12/2017;3.34;0.17;-50.67
MD558;-75.75;41.47;3621;07/12/2017;3.85;0.17;-50.93
MD568;-75.83;41.37;3635;07/12/2017;3.74;0.18;-49.64
MD578;-75.92;41.27;3655;07/12/2017;4.20;0.19;-51.15
MD588;-76.02;41.15;3667;07/12/2017;3.72;0.18;-51.71
MD598;-76.10;41.05;3680;07/12/2017;4.13;0.21;-51.35
MD608;-76.18;40.95;3683;07/12/2017;3.15;0.14;-51.53
MD618;-76.28;40.85;3688;07/12/2017;5.07;0.17;-51.68
MD628;-76.37;40.75;3705;08/12/2017;4.75;0.17;-52.55
MD638;-76.47;40.65;3731;08/12/2017;3.29;0.13;-52.37
MD648;-76.55;40.55;3725;08/12/2017;4.76;0.17;-51.89
MD658;-76.63;40.45;3729;08/12/2017;6.10;0.20;-50.34
MD668;-76.73;40.35;3734;08/12/2017;5.18;0.18;-53.88
MD678;-76.82;40.25;3751;08/12/2017;3.58;0.14;-52.63
MD688;-76.92;40.15;3760;09/12/2017;6.23;0.20;-55.09
MD698;-77.00;40.03;3752;09/12/2017;7.06;0.20;-55.46
MD708;-77.10;39.93;3769;09/12/2017;5.85;0.18;-53.59
MD718;-77.18;39.83;3765;09/12/2017;6.77;0.20;-55.97
MD728;-77.27;39.73;3783;09/12/2017;7.01;0.21;-53.86
MD734;-77.32;39.72;3772;14/12/2017;6.73;0.19;-54.52
DF80;-77.38;39.60;3783;17/12/2017;8.62;0.26;-56.18
