depth;Be_conc 
6.75;0.553
7.25;0.809
7.75;0.789
8.25;0.86
8.75;0.971
9.25;0.9
9.75;0.971
10.25;0.91
10.75;0.867
11.25;0.76
11.75;0.788
12.25;0.525
12.75;0.725
13.25;0.821
13.75;0.681
14.25;0.749
14.75;0.796
15.25;0.83
15.75;0.836
16.25;0.674
16.75;0.997
17.25;0.759
17.75;0.743
18.25;0.755
18.75;0.77
19.25;0.8
19.75;0.843
20.25;0.962
20.75;0.78
21.25;0.787
21.75;0.908
22.25;0.995
22.75;1
23.25;0.905
23.75;1.06
24.25;1.21
24.75;1.03
25.25;0.867
25.75;1.04
26.25;0.975
26.75;0.697
27.25;0.827
27.75;0.879
28.25;1.1
28.75;1.06
29.25;0.979
29.75;0.847
30.25;0.922
30.75;0.768
31.25;0.932
31.75; 
32.25;0.86
32.75;0.92
33.25;0.89
33.75;0.859
34.25;0.848
34.75;0.78
35.25;0.96
35.75;0.764
36.25;0.75
36.75;0.932
37.25;0.85
37.75;0.744
38.25;0.916
38.75;0.854
39.25;1.03
39.75;0.79
40.25;0.825
40.75;0.731
41.25;0.95
41.75;0.95
42.25;0.85
42.75;0.893
43.25;0.788
43.75;0.75
44.25; 
44.75;0.82
45.25;0.844
45.75;0.77
46.25;0.671
46.75;0.658
47.25;0.82
47.75;1.14
48.25;0.902
48.75;1.05
49.25;0.73
49.75;0.76
50.25;0.89
50.75;0.807
51.25;0.761
51.75;0.907
52.25;0.811
52.75;0.732
53.25; 
53.75;0.85
54.25;0.8
54.75;0.94
55.25;0.786
55.75;0.823
56.25;0.705
56.75;0.713
57.25;0.875
57.75;0.75
58.25;0.768
58.75;0.765
59.25;0.896
59.75;0.928
60.25;0.691
60.75;0.721
61.25;0.606
61.75;0.742
62.25;0.907
62.75;0.888
63.25;0.814
63.75;0.829
64.25;0.957
64.75;0.78
65.25;0.804
65.75;0.89
66.25;0.73
66.75;0.85
67.25;0.76
67.75;0.789
68.25;0.821
68.75;0.854
69.25;0.88
69.75;0.83
70.25;0.699
70.75;0.82
71.25;0.808
71.75;0.838
72.25; 
72.75;0.79
73.25;0.82
73.75;0.708
74.25;0.88
74.75;0.96
75.25;1.21
75.75;0.93
76.25;0.813
76.75;0.564
77.25;0.786
77.75;0.716
78.25;0.736
78.75;0.84
79.25;0.756
79.75;0.747
80.25;0.729
80.75;0.771
81.25;0.74
81.75;1.05
82.25;0.713
82.75;0.88
83.25;0.85
83.75;0.96
84.25;0.95
84.75;0.969
85.25;0.977
85.75;0.8
86.25;0.622
86.75;0.62
87.25;0.782
87.75;0.795
88.25;0.783
88.75;0.612
89.25;0.822
89.75;0.819
90.25;0.658
90.75;0.819
91.25;0.74
91.75;0.73
92.25;0.838
92.75;0.68
93.25;0.856
93.75;0.76
94.25;0.742
94.75;0.881
95.25;0.81
95.75;0.8
96.25;0.74
96.75;0.851
97.25;0.682
97.75;0.813
98.25;0.829
98.75;0.727
99.25;1.04
99.75;0.842
100.25;0.838
100.75;0.83
101.25;0.866
101.75; 
102.25;0.728
102.75;0.75
103.25;0.718
103.75;0.823
104.25;0.751
104.75;0.81
105.25;0.83
105.75;0.719
106.25;0.741
106.75;0.89
107.25;0.811
107.75;0.84
108.25;0.777
108.75;0.674
109.25;0.8337
109.75;0.861
110.25;0.84
110.75;0.74
111.25;0.75
111.75;0.818
112.25;0.749
112.75;0.85
113.25;0.748
113.75;0.666
114.25;0.868
114.75;0.866
115.25;0.649
115.75;0.82
116.25;0.86
116.75;0.795
117.25;0.758
117.75;0.776
118.25;0.809
118.75;0.718
119.25;0.772
119.75;0.838
120.25;0.75
120.75;0.823
121.25;0.755
121.75;1
122.25;0.911
122.75;0.9482
123.25;0.798
123.75;0.78
124.25;0.8825
124.75;0.853
125.25;0.802
125.75;0.787
126.25;0.835
126.75;0.7651
127.25;0.754
127.75; 
128.25;0.78
128.75;0.7811
129.25;0.742
129.75;0.812
130.25;0.904
130.75;1.04
131.25;0.998
131.75;0.815
132.25;0.69
132.75;0.837
133.25;0.683
133.75;0.88
134.25;0.801
134.75;0.675
135.25;0.92
135.75;0.723
136.25;0.746
136.75;0.822
137.25;0.7533
137.75;0.709
138.25;0.6755
138.75;0.804
139.25;1.06
139.75;1.03
140.25;0.969
140.75;0.89
141.25;0.846
141.75;0.66
142.25;0.74
142.75;0.78
143.25;0.983
143.75;0.9
144.25;0.735
144.75;0.79
145.25;0.766
145.75;0.94
146.25;0.831
146.75;0.895
147.25;0.71
147.75;0.8
148.25;0.868
148.75; 
149.25;0.712
149.75; 
150.25;0.77
150.75;0.704
151.25;0.78
151.75;0.87
152.25;0.841
152.75;0.896
153.25;0.97
153.75;0.94
154.25;0.82
154.75;0.78
155.25;0.83
155.75;0.86
156.25;0.76
156.75;0.75
157.25;0.891
157.75;0.83
158.25;0.812
158.75;0.948
159.25;0.92
159.75;0.783
160.25;0.91
160.75;1.07
161.25;0.98
161.75;0.813
162.25;0.859
162.75;0.75
163.25;0.97
163.75;0.83
164.25;0.91
164.75;0.88
165.25;0.87
165.75;0.857
166.25;0.816
166.75;1.1
167.25;0.87
167.75;1
168.25;1.1
168.75;1.07
169.25;0.86
169.75;0.885
170.25;0.79
170.75;0.87
171.25;0.85
171.75;0.857
172.25;0.953
172.75;0.83
173.25;1.13
173.75;0.88
174.25;0.84
174.75;0.9
175.25;0.87
175.75;0.848
176.25;0.79
176.75;0.81
177.25;0.82
177.75;0.861
178.25;1.04
