depth;Be_conc 
0.23;0.785
0.57;0.887612881
0.85;0.911455161
1.39;0.898491042
2.17;0.736
2.97;0.774108188
3.77;0.716408235
4.57;0.836781795
5.37;0.858
6.17;0.900321325
6.97;0.756902689
7.77;
8.56;
9.37;
10.18;0.962781975
10.98;0.874602016
11.78;0.861099909
12.58;0.897634678
13.38;0.751278505
14.18;0.894847944
14.98;1.256407171
15.78;1.030211841
16.58;1.079499236
17.38;0.993158264
18.18;0.815713535
18.98;0.838
19.78;0.833828995
20.58;0.898846902
21.38;1.012428676
22.18;
22.98;1.459942903
24.18;1.132082937
25.79;1.314328262
27.00;1.320049832
27.80;0.940651116
28.60;0.86708948
29.40;
30.20;1.033481652
30.96;1.069446582
31.72;1.359999821
32.52;1.339486664
33.32;0.88245021
34.12;0.921310652
34.92;0.879320429
35.72;0.722546327
36.52;
37.32;0.830882881
38.12;0.878453265
38.92;0.714763606
39.72;0.893160217
40.52;
41.32;1.065047464
42.52;1.287192716
43.72;1.033478378
44.52;0.841527091
45.32;0.925831402
46.12;0.76329813
46.92;
47.72;0.713606926
48.52;0.737369624
49.32;0.870574388
50.12;0.881600656
50.92;0.718646385
51.72;0.688823868
52.93;1.118961487
54.13;1.116546143
54.93;0.982608667
55.73;0.731292199
56.53;0.980462011
57.33;0.916219064
58.53;1.005900065
59.73;0.835628895
60.53;0.787466011
61.33;0.824124508
62.50;1.106541333
63.66;0.972115404
64.46;0.860050639
65.26;0.90968874
66.06;0.929077127
66.86;0.809114319
67.66;1.049576584
68.46;0.786554958
69.26;0.934890049
70.06;0.877140243
70.70;1.028591829
71.50;1.063021809
72.46;0.801566953
73.26;
74.05;0.930862305
74.84;0.838330828
75.65;0.82683493
76.45;0.753487912
77.25;1.007575652
78.05;0.864776298
78.85;0.740890766
79.65;0.884829272
80.45;0.939778626
81.25;1.07107425
82.05;0.994684991
82.78;0.716440638
83.47;0.782294195
84.22;0.849609429
85.27;0.778417872
86.30;1.160037893
87.06;1.213513734
87.83;1.010460797
88.58;0.832958852
89.36;0.68731306
90.16;0.799890089
90.96;0.740303357
91.76;0.934504108
92.56;0.761814696
93.36;0.92726288
94.08;0.698888735
94.80;0.855481541
95.58;0.887661593
96.33;0.975236827
97.05;0.952643206
97.78;
98.53;1.033227846
99.26;1.23419158
100.02;0.764881212
100.82;0.942374377
101.62;0.91458938
102.37;0.799919523
103.12;0.866859095
103.92;0.927663159
104.65;
105.36;0.733879241
106.11;0.84258936
106.88;0.685710557
107.68;0.924548723
108.48;1.078418955
109.28;0.827552413
