depth;Be_conc 
7.43;0.598
7.98;0.556
8.53;0.66
8.94;0.618
9.21;0.466
9.49;0.715
9.76;0.524
10.04;0.515
10.31;0.476
10.59;0.456
10.86;0.582
11.14;0.451
11.41;0.746
11.69;0.703
11.96;0.624
12.24;0.77
12.51;0.639
12.79;0.801
13.06;0.54
13.34;0.533
13.61;0.627
13.89;0.5
14.16;0.383
14.44;0.547
14.71;0.538
14.99;0.544
15.26;0.6
15.68;0.607
16.23;0.521
16.64;0.615
16.91;0.697
17.19;0.577
17.46;0.498
17.74;0.796
18.01;0.719
18.29;0.573
18.56;0.789
18.84;0.835
19.11;0.623
19.39;0.78
19.66;0.732
19.94;0.889
20.21;0.927
20.49;0.722
20.76;0.577
21.04;0.574
21.31;0.649
21.59;0.628
21.86;0.627
22.09;0.815
22.27;0.61
22.46;0.679
22.64;0.536
22.82;0.583
23.01;0.465
23.19;0.591
23.37;0.754
23.56;0.598
23.74;0.72
23.92;0.556
24.11;0.695
24.29;0.765
24.47;0.709
24.66;0.613
24.84;0.592
25.02;0.55
25.21;0.61
25.39;0.697
25.57;0.635
25.76;0.62
25.94;0.777
26.12;0.641
26.31;0.57
26.49;0.737
26.67;0.781
26.86;0.656
27.04;0.705
27.22;0.78
27.41;1.03
27.59;0.68
27.77;0.598
27.96;0.586
28.14;0.608
28.32;0.72
28.51;0.667
28.69;0.962
28.87;0.884
29.06;0.765
29.24;0.761
29.42;0.672
29.61;0.889
29.79;0.824
29.97;1.24
30.16;0.701
30.34;0.661
30.52;0.754
30.71;1.22
30.89;0.953
31.07;0.975
31.26;0.775
31.44;0.66
31.62;0.844
31.81;0.676
31.99;0.562
32.17;0.69
32.36;0.61
32.54;0.648
32.72;
32.91;0.768
33.09;
33.27;0.505
33.46;0.522
33.64;0.646
33.82;
34.01;0.598
34.19;0.464
34.37;0.6
34.56;0.712
34.74;0.739
34.92;0.857
35.11;0.914
35.29;0.66
35.47;0.779
35.66;0.662
35.84;0.739
36.02;0.72
36.21;0.707
36.39;0.72
36.57;0.51
36.76;
36.94;0.734
37.12;0.844
37.31;0.622
37.49;0.766
37.67;0.756
37.86;0.575
38.04;1.04
38.22;0.645
38.41;0.564
38.59;0.599
38.77;0.562
38.96;0.623
39.14;0.802
39.32;0.923
39.51;0.652
39.69;0.657
39.87;0.551
40.06;0.693
40.24;0.535
40.42;0.632
40.61;0.565
40.79;0.532
40.97;0.67
41.16;0.713
41.34;0.606
41.52;0.747
41.71;0.469
41.89;0.51
42.07;0.632
42.26;0.777
42.44;0.455
42.62;0.478
42.81;0.515
42.99;0.422
43.17;0.744
43.36;0.39
43.54;0.412
43.72;0.471
43.91;0.6
44.09;0.624
44.27;0.47
44.46;0.503
44.64;0.458
44.82;0.469
45.01;0.591
45.19;0.553
45.37;0.57
45.56;0.604
45.74;0.563
45.92;0.484
46.11;0.671
46.29;0.833
46.47;0.74
46.66;0.669
46.84;0.626
47.02;0.55
47.21;0.763
47.39;0.643
47.57;0.707
47.76;0.589
47.94;0.628
48.12;0.633
48.31;0.521
48.49;0.706
48.67;0.842
48.86;0.592
49.04;0.531
49.22;0.857
49.41;0.536
49.59;0.482
49.77;0.504
49.96;0.573
50.14;0.586
50.32;0.464
50.51;0.529
50.69;0.509
50.87;0.579
51.06;0.528
