depth;Be_conc 
56.19;0.645
56.99;0.246
57.79;0.169
58.59;0.647
59.40;0.445
60.20;0.451
60.97;0.464
61.77;0.410
62.57;0.346
63.37;0.322
64.17;0.506
64.97;0.404
65.77;0.500
66.57;0.382
67.36;0.333
68.15;0.665
68.95;0.582
69.75;0.673
70.50;0.470
71.25;0.333
72.09;0.440
72.92;0.384
73.72;0.366
74.52;0.598
75.32;0.433
76.12;0.375
76.92;0.422
77.72;0.404
78.51;0.427
79.30;0.446
80.10;0.359
81.18;0.478
82.28;0.482
83.09;0.466
83.89;0.414
84.69;0.455
85.49;0.493
86.29;0.609
87.09;0.385
87.85;0.509
88.62;0.519
89.42;0.426
90.22;0.395
91.02;0.437
91.82;0.473
92.62;0.474
93.42;0.378
94.22;0.387
95.02;0.461
95.82;0.451
96.62;0.436
97.42;0.373
98.22;0.494
99.02;0.402
99.82;0.412
100.82;0.397
101.62;0.467
102.42;0.559
103.22;0.557
103.91;0.589
104.77;0.505
105.85;0.419
106.75;0.407
107.56;0.420
108.37;0.427
109.18;0.469
110.00;0.377
110.80;0.395
111.80;0.343
112.60;
113.44;0.466
114.27;0.431
115.06;0.447
116.17;0.534
116.99;0.537
117.77;0.510
118.53;0.500
120.17;0.419
122.00;0.373
123.00;0.402
123.82;0.445
125.05;0.401
126.40;0.432
127.28;0.535
128.35;
129.45;0.457
130.00;0.367
130.48;0.401
131.03;0.375
131.65;0.409
132.28;0.483
132.83;0.404
133.30;0.487
133.78;0.444
134.30;0.475
135.68;
137.15;0.239
137.95;0.343
138.61;0.239
139.66;0.341
140.21;0.306
140.62;0.355
141.23;0.360
142.21;0.425
143.20;0.505
144.10;0.356
144.91;0.407
146.00;0.434
147.10;0.501
147.90;0.514
148.73;0.491
149.55;0.580
150.55;0.328
151.48;0.529
152.50;0.430
153.50;0.388
154.60;0.415
155.70;0.450
156.70;0.439
157.50;0.424
158.70;0.536
159.80;0.437
161.60;0.449
162.70;0.520
164.05;0.485
165.35;
166.50;0.551
168.50;0.425
170.25;0.493
171.00;0.489
172.50;0.481
