depth;Be_conc 
1.28;0.332
2.93;0.419
4.53;0.279
6.03;0.318
7.30;0.304
8.55;0.292
9.85;0.351
11.05;0.314
12.33;0.360
13.45;0.365
14.43;0.363
15.45;0.413
16.48;0.367
17.53;0.325
18.55;0.361
19.35;
19.77;0.273
20.48;0.313
21.58;0.302
22.69;0.388
23.79;0.372
24.78;0.372
25.70;0.387
26.63;0.405
27.58;0.521
28.50;0.367
29.38;
30.15;
30.60;0.245
31.20;0.286
32.18;0.305
33.13;0.326
34.05;0.327
34.98;0.370
35.95;0.293
36.68;0.274
37.38;0.336
38.30;0.371
39.20;0.403
40.08;0.473
41.00;0.440
41.87;
42.37;0.579
42.95;0.367
43.66;0.421
44.09;0.504
44.65;0.462
45.50;0.396
46.35;0.477
47.18;0.431
48.00;0.324
48.80;0.441
49.65;0.317
50.55;0.362
51.43;
52.28;0.338
53.10;0.319
53.98;0.479
54.88;0.449
55.80;0.437
56.75;
57.70;0.456
58.70;0.462
59.53;0.504
60.30;0.460
61.15;0.477
61.95;0.478
62.70;0.381
63.48;0.395
64.15;
64.95;0.453
65.80;0.428
66.40;0.499
67.10;0.426
67.73;0.399
68.35;0.609
69.03;0.609
69.53;0.442
70.15;0.471
70.85;0.416
71.53;0.473
72.23;0.446
72.88;0.388
73.55;0.378
74.18;0.401
74.65;0.324
75.28;0.406
76.20;0.435
77.10;0.261
77.98;
78.95;0.329
79.78;0.365
80.35;0.406
81.18;0.479
81.93;0.422
82.53;
83.43;0.417
84.23;0.389
84.88;
85.28;0.331
85.63;
86.20;0.392
87.13;0.454
87.93;0.370
88.20;0.332
88.43;
89.30;0.313
90.25;0.391
90.51;0.320
91.48;0.260
92.53;0.312
93.03;
93.70;0.276
94.28;0.355
94.78;0.308
95.28;
95.88;0.381
96.55;0.337
97.15;0.330
97.70;0.308
98.43;0.325
99.23;0.287
99.80;0.372
100.08;0.213
100.53;0.285
101.38;0.370
102.13;0.337
102.78;0.344
103.48;
104.23;0.299
105.00;0.353
105.68;0.392
106.28;0.460
106.93;0.409
107.75;0.469
108.60;0.514
109.35;0.450
110.05;0.334
110.75;
111.48;0.370
112.15;0.441
112.73;0.354
113.30;0.318
113.78;0.338
113.98;
114.19;0.350
114.54;
115.13;0.423
115.95;0.310
116.70;0.355
117.15;0.315
117.65;0.231
118.50;0.437
119.08;0.308
119.80;0.397
120.78;0.364
121.53;0.394
122.28;0.370
123.03;0.375
123.73;0.338
124.15;0.361
124.60;
125.30;0.353
126.00;0.359
126.95;0.351
