age_vostok;Be_conc_vostok;age_da;Be_conc_da;age_edc;Be_conc_edc;age_odc;Be_conc_odc;age_sp;Be_conc_sp;age_df;Be_conc_df;age_edml;Be_conc_edml;age_ldc;Be_conc_ldc;age_sd;Be_conc_sd;age_spi;Be_conc_spi;age_td;Be_conc_td;age_wd;Be_conc_wd
234.5;0.731;4.82;0.785;56.48;0.598;1078.52;0.645;-28.5;0.332;74;0.816;1216;0.362;-69.85858586;0.532958207;-44.04;0.187;66.44;0.316;-9.5;0.211;-44.25;0.108
246;0.748;11;0.888;65.53;0.556;1097.6;0.246;-22;0.419;80;0.718;1238;0.379;-65.05050505;0.525367064;-43.47;0.208;72.98;0.234;31.5;0.207;-33.4;0.11
257.5;0.768;17.12;0.911;74.99;0.66;1116.67;0.169;-15;0.279;86;0.696;1260;0.488;-58.32727273;0.406215359;-42.74;0.206;79.55;0.231;75.2;0.201;-22.1;0.131
269;0.885;28.5;0.898;82.24;0.618;1135.49;0.647;-5.5;0.318;93;0.73;1282;0.411;-51.42222222;0.618860825;-41.56;0.184;85.84;0.272;124.5;0.211;-9.7;0.103
281;0.961;43.5;0.736;86.76;0.466;1154.43;0.445;3;0.304;101;0.697;1304;0.395;-44.69494949;0.649054026;-40.22;0.155;92.02;0.324;179.1;0.211;1.85;0.102
293;0.775;58.5;0.774;91.44;0.715;1173.79;0.451;10.5;0.292;109;0.715;1326;0.403;-37.07878788;0.432879289;-38.79;0.148;98.3;0.256;239;0.195;11.55;0.1
305;0.931;72.5;0.716;95.96;0.524;1191.92;0.464;18.5;0.351;117;0.917;1348;0.411;-30.27474748;0.477861588;-37.67;0.177;105.04;0.276;303.5;0.177;21.05;0.13
317;0.832;85.5;0.837;100.64;0.515;1210.68;0.41;26;0.314;125;0.859;1370;0.379;-25.78989899;0.488611509;-37.12;0.16;112.84;0.276;372.6;0.197;31.25;0.093
329;0.767;99;0.858;105.16;0.476;1229.75;0.346;34;0.36;132;0.827;1392;0.362;-22.32323232;0.508992904;-33.17;0.156;121.27;0.332;445.8;0.208;41.7;0.109
341.5;0.808;113.5;0.9;110.12;0.456;1248.81;0.322;41;0.365;141;1.024;1414;0.346;-18.08080808;0.500168897;-32.42;0.289;129.8;0.291;522.5;0.21;52.15;0.134
354;0.827;128.5;0.757;115.18;0.582;1267.88;0.506;47.5;0.363;150;0.917;1436;0.37;-13.3959596;0.5959772;-31.05;0.316;137.97;0.36;599.7;0.196;62.4;0.143
366.5;0.774;143.5;;120.42;0.451;1288.05;0.404;54.5;0.413;160;0.666;1458;0.37;-8.644444444;0.462451849;-26.64;0.305;145.4;0.361;682.8;0.224;72.8;0.135
379;0.847;158;;125.48;0.746;1307.11;0.5;61.5;0.367;169;0.733;1480;0.338;-2.747474748;0.60216232;-25.77;0.196;153.28;0.326;768.7;0.245;83.65;0.119
391.5;0.899;173.1;;130.54;0.703;1326.18;0.382;68.5;0.325;179;0.644;1502;0.427;3.393939394;0.525080692;-24.89;0.251;161.47;0.261;857.3;0.236;95.35;0.129
404.5;0.815;188.5;0.963;135.26;0.624;1345.41;0.333;75.5;0.361;189;0.781;1524;0.411;9.111111114;0.415203419;-23.89;0.235;168.19;0.254;948.8;0.221;107.2;0.121
417.5;0.812;203.5;0.875;140.32;0.77;1364.73;0.665;81.1;;199;0.837;1546;0.35;14.70707071;0.504628936;-22.29;0.156;174.74;0.294;1042.7;0.207;118.7;0.119
430.5;0.937;219;0.861;145.38;0.639;1384.35;0.582;84.1;0.273;208;0.692;1568;0.374;21.04040404;0.625542947;-20.51;0.145;182.64;0.272;1138.9;0.183;130.05;0.119
443.5;1.008;235;0.898;150.7;0.801;1403.78;0.673;89;0.313;218;0.707;1590;0.403;27.05252525;0.445502646;-19.31;0.264;190.75;0.328;1239.8;0.173;141.85;0.155
456.5;0.986;251;0.751;155.9;0.54;1423.86;0.47;96.5;0.302;227;0.759;1612;0.338;33.11919192;0.514205742;-18.23;0.212;199.04;0.282;1341.2;0.202;154;0.124
469.5;0.992;267.5;0.895;161.2;0.533;1441.18;0.333;104;0.388;237;0.781;1634;0.33;38.63434344;0.59303063;-16.81;0.268;207.6;0.277;1444.5;0.219;167;0.1
483;1.052;284;1.256;166.2;0.627;1461.46;0.44;111.5;0.372;247;0.951;1656;0.403;44.2989899;0.61109945;-1.94;0.183;216.86;0.294;1547.5;0.208;178.2;0.107
496.5;1.16;300.5;1.03;171.47;0.5;1483.38;0.384;118;0.372;257;1.048;1678;0.435;50.61818182;0.585715629;-0.46;0.146;226.43;0.332;1550.1;0.211;187.45;0.107
510;1.075;317.5;1.079;176.63;0.383;1503.54;0.366;124;0.387;267;0.862;1700;0.358;57.37373738;0.491394948;3.25;0.173;234.98;0.402;1787.6;0.201;197.75;0.119
524;0.936;335;0.993;181.95;0.547;1523.72;0.598;130.5;0.405;274;1.004;1722;0.387;64.27272728;0.588479593;9.95;0.234;243.07;0.36;1899.4;0.187;208.3;0.119
537.5;0.989;352.5;0.816;187.05;0.538;1543.93;0.433;137.5;0.521;281;1.139;1744;0.342;71.74747475;0.657773582;10.72;0.163;251.48;0.42;2106.5;0.171;220.75;0.132
551;0.983;369.5;0.838;192.35;0.544;1564.13;0.375;144.7;0.367;292;1.045;1766;0.387;78.68080808;0.604023123;12.61;0.221;260.17;0.32;2224.9;0.195;233.75;0.135
565;0.767;387;0.834;197.45;0.6;1584.34;0.422;152;;301;0.847;1788;0.362;85.74343434;0.555702747;13.47;0.142;269.53;0.381;2344.6;0.192;245.05;0.136
579;0.794;404.5;0.899;205.19;0.607;1605.16;0.404;158.4;;310;1.065;1810;0.468;92.43434343;0.479129109;13.99;0.164;279.31;0.477;2466.6;0.163;254.7;0.169
593;0.952;422;1.012;215.34;0.521;1626;0.427;162.1;0.245;320;0.817;1832;0.358;98.93939392;0.462819112;14.78;0.222;288.49;0.396;2590.8;0.177;264;0.137
607;1.022;440;;223;0.615;1646.32;0.446;167;0.286;330;0.824;1854;0.411;105.0727272;0.498441245;15.99;0.239;297.18;0.398;2848.6;0.173;274.8;0.18
621.5;0.945;458.5;1.46;228;0.697;1667.28;0.359;175;0.305;338;0.739;1876;0.48;111.0626262;0.556788074;21.22;0.173;306.25;0.356;2976.6;0.176;285.05;0.157
636;0.937;486.5;1.132;233.37;0.577;1688.31;0.478;183;0.326;347;0.718;1898;0.423;117.0969697;0.445982646;22.01;0.219;314.82;0.311;3107.8;0.17;295.8;0.162
650;0.917;524.5;1.314;238.73;0.498;1724.06;0.482;191;0.327;356;0.878;1920;0.395;123.3393939;0.607040516;23.41;0.204;323.4;0.288;3245;0.172;306.15;0.139
664.5;0.922;553.5;1.32;244.17;0.796;1746.27;0.466;199;0.37;364;0.836;1942;0.366;130.660606;0.447178667;28.78;0.21;333.45;0.284;3354.9;0.176;314.6;0.161
679.5;0.841;573;0.941;249.33;0.719;1767.71;0.414;207;0.293;373;0.846;1964;0.334;139.6242424;0.500380073;30.36;0.241;343.93;0.302;3523.4;0.17;324.05;0.1
694.25;0.882;592.5;0.867;254.77;0.573;1789.15;0.455;213;0.274;383;0.865;1986;0.395;150.6585858;0.509921777;31.66;0.158;353.57;0.327;3665.8;0.17;337.3;0.097
708.75;0.833;612;;260.13;0.789;1810.56;0.493;219;0.336;393;0.768;2008;0.346;163.4585858;0.514154724;32.63;0.177;363.17;0.331;3724.8;0.174;351.2;0.132
723.5;0.862;632;1.033;265.73;0.835;1831.93;0.609;226.5;0.371;404;0.829;2030;0.338;175.6767677;0.365237355;33.25;0.252;373.25;0.3;3817.7;0.163;361.45;0.129
738.5;0.899;651;1.069;271.17;0.623;1853.31;0.385;234;0.403;414;0.919;2052;0.317;186.2727273;0.436126272;33.87;0.158;383.13;0.293;3965.9;0.168;372.75;0.148
753.5;0.891;670;1.36;276.85;0.78;1874.49;0.509;241.5;0.473;424;1.026;2074;0.383;195.7272727;0.429437027;45.39;0.152;392.47;0.346;4120.3;0.155;386;0.126
768.5;0.873;690;1.339;282.35;0.732;1894.42;0.519;249.3;0.44;434;0.935;2096;0.379;205.6020202;0.435150113;46.39;0.212;402.02;0.366;4275.5;0.173;398.7;0.137
783.5;0.815;710.5;0.882;288.05;0.889;1915.98;0.426;256.8;;444;1.036;2118;0.35;215.6060606;0.50503878;47.7;0.19;411.63;0.384;4401.1;0.172;410.85;0.14
798.5;0.769;731;0.921;293.55;0.927;1937.63;0.395;261;0.579;454;0.961;2140;0.395;225.8949495;0.49408978;52.49;0.181;421.34;0.429;4562.6;0.187;423.4;0.166
814;0.852;751.5;0.879;299.35;0.722;1959.54;0.437;266;0.367;465;1.266;2162;0.366;236.2464646;0.412861116;53.38;0.15;431.72;0.424;4759.7;0.184;437.3;0.145
