AICC-C14Be;C14Be 
229.4151136;-2.83706
234.883142;-2.62034
239.8319792;-2.37826
244.7335833;-2.0851
249.92875;-1.68158
255.26625;-1.15979
260.3813542;-0.743062
265.2740625;-0.528248
270.1667708;-0.525222
275.0594792;-0.880242
279.9567083;-1.3087
285.003125;-1.31055
290.121875;-0.836374
295.240625;-0.572008
300.359375;-0.772408
305.478125;-1.09762
310.596875;-1.32827
315.715625;-1.44062
320.834375;-1.42677
325.953125;-1.22545
330.9348846;-1.01256
335.3534615;-0.847403
339.7111538;-0.741823
344.2504167;-0.695823
348.97125;-0.733117
353.6267179;-0.703496
358.0134615;-0.498251
362.3711538;-0.143077
366.9104167;0.154502
371.63125;0.360888
376.3491987;0.468175
381.0552885;0.399284
385.7600962;0.1977
390.4649038;0.0946664
395.1697115;0.173197
399.8745192;0.372023
404.5793269;0.708935
409.2841346;1.21161
413.9889423;1.65669
418.69375;1.97503
423.4083846;2.17846
428.4473077;2.28084
433.6434615;2.22683
438.8396154;2.16662
444.0357692;2.15757
449.2319231;2.20556
454.4280769;2.30272
459.6242308;2.49054
464.7906923;2.70776
469.6825;2.92868
474.5075;3.13554
479.5062692;3.20181
485.2194231;2.9931
491.0098077;2.53118
496.5933929;2.05715
501.9701786;1.56511
507.3469643;1.15188
512.72375;0.93408
518.1005357;1.00659
523.5104093;1.09072
529.2263462;1.06987
535.0167308;0.902524
540.6193352;0.602533
545.8346429;0.0572336
551.0382143;-0.549562
556.2417857;-0.905574
561.4453571;-0.828968
566.6489286;-0.556916
571.8525;-0.178356
577.0560714;0.364028
582.2596429;0.864691
587.4632143;1.21888
592.6667857;1.38311
597.847375;1.43842
602.9334821;1.30773
608.009375;1.02069
612.9769821;0.780878
617.72125;0.633747
622.45875;0.567441
627.3045357;0.495
632.3736607;0.410493
637.4495536;0.321829
642.5254464;0.252727
647.6013393;0.209116
652.684031;0.151471
657.9910833;0.0382852
663.4069167;-0.177874
668.82275;-0.390278
674.2385833;-0.500101
679.6544167;-0.438169
685.0739851;-0.342829
690.6168103;-0.318835
696.2193966;-0.419547
701.8219828;-0.530331
707.424569;-0.562247
713.0271552;-0.467855
718.5934011;-0.351911
723.8235;-0.242078
728.9718333;-0.136384
734.1201667;-0.0545887
739.2685;-0.0223864
744.4168333;-0.0615164
749.5651667;-0.12059
754.7135;-0.189724
759.8618333;-0.278798
765.0101667;-0.38386
770.1585;-0.518745
775.3068333;-0.705189
780.4651;-0.881923
785.71525;-1.02523
790.98775;-1.11929
796.26025;-1.15226
801.53275;-1.08064
806.80525;-0.851065
812.0513875;-0.657237
817.0536719;-0.611806
821.9966406;-0.787902
826.9462;-0.972063
832.11325;-1.08523
837.38575;-1.07998
842.6538938;-1.00966
847.7782812;-0.884161
852.8329687;-0.659994
857.8876562;-0.428077
863.1108333;-0.259561
868.5025;-0.207808
873.8941667;-0.225384
879.1173437;-0.23916
884.1720312;-0.247157
889.2267187;-0.229608
894.2814062;-0.137104
899.3360937;0.101511
904.3907812;0.452637
909.4495469;0.716653
914.5250781;0.81055
919.6024219;0.704683
924.6797656;0.610531
929.7571094;0.583438
934.8344531;0.657004
939.9117969;0.686949
944.9891406;0.580379
950.0664844;0.232545
955.1438281;-0.178671
960.2211719;-0.542589
965.2985156;-0.831536
970.3758594;-1.04946
975.5067031;-1.2023
980.7478906;-1.23866
985.9924219;-1.16249
991.2369531;-1.05878
996.4814844;-0.899862
1001.726016;-0.675847
1006.970547;-0.455912
1012.215078;-0.251914
1017.459609;-0.0697821
1022.697971;0.0766493
1027.732721;0.155758
1032.66875;0.112205
1037.604779;-0.00262183
1042.647529;-0.107687
1047.910391;-0.195084
1053.179922;-0.268764
1058.393658;-0.338609
1063.378015;-0.404619
1068.337574;-0.468768
1073.303332;-0.527103
1078.473672;-0.577647
1083.743203;-0.616445
1089.012734;-0.635591
1094.167169;-0.61532
1099.206507;-0.518079
1104.245846;-0.359678
1109.285184;-0.238939
1114.324522;-0.191436
1119.36386;-0.254723
1124.411193;-0.327998
1129.722344;-0.373707
1135.161406;-0.376041
1140.600469;-0.37848
1145.879559;-0.416598
1150.998676;-0.529922
1156.117794;-0.706597
1161.236912;-0.865582
1166.356029;-0.991069
1171.475147;-1.0712
1176.601147;-1.1198
1181.954265;-1.13095
1187.4175;-1.06907
1192.880735;-0.947984
1198.343971;-0.775612
1203.807206;-0.502536
1209.270441;-0.09713
1214.709395;0.318064
1219.92375;0.745025
1225.083472;1.2134
1230.243194;1.63227
1235.500041;1.91073
1240.957206;1.92622
1246.420441;1.62935
1251.888324;1.37588
1257.399191;1.26066
1262.920515;1.39242
1268.441838;1.53793
1273.963162;1.49954
1279.484485;1.10135
1285.005809;0.39476
1290.471919;-0.222979
1295.711042;-0.674778
1300.925625;-0.879601
1306.140208;-0.989636
1311.508162;-1.0029
1317.029485;-0.824537
1322.550809;-0.494061
1327.944919;-0.248651
1332.816042;-0.167364
1337.630625;-0.335186
1342.445208;-0.528777
1347.401397;-0.673033
1352.499191;-0.728423
1357.596985;-0.690993
1362.643801;-0.600273
1367.481042;-0.40685
1372.295625;-0.0553835
1377.110208;0.262413
1381.924792;0.445739
1386.739375;0.372057
1391.553958;0.0690378
1396.404493;-0.216263
1401.587574;-0.473961
1406.851544;-0.68429
1412.115515;-0.847255
1417.233264;-0.92925
1422.204792;-0.8611
1427.176319;-0.65664
1432.147847;-0.460149
1437.119375;-0.275582
1442.090903;-0.108867
1447.062431;0.0281389
1452.033958;0.119625
1457.005486;0.118156
1461.977014;0.00989783
1466.955375;-0.0588915
1472.159236;-0.0269418
1477.472431;0.194688
1482.785625;0.493342
1488.098819;0.671372
1493.412014;0.622054
1498.725208;0.228778
1504.038403;-0.180368
1509.351597;-0.482841
1514.664792;-0.585747
1519.977986;-0.518733
1525.291181;-0.495255
1530.604375;-0.570654
1535.917569;-0.818056
1541.230764;-1.09714
1546.627069;-1.30314
1552.194792;-1.37677
1557.767708;-1.2864
1563.334759;-1.15261
1568.708224;-0.955619
1573.987829;-0.630209
1579.267434;-0.209976
1584.570504;0.107431
1590.090625;0.225169
1595.663542;-0.00301852
1601.236458;-0.324146
1606.809375;-0.568239
1612.382292;-0.674027
1617.955208;-0.609885
1623.524088;-0.533928
1628.959737;-0.465922
1634.330789;-0.411795
1639.701842;-0.361667
1645.096766;-0.276003
1650.7125;-0.115278
1656.381944;0.185734
1662.051389;0.508444
1667.625348;0.775772
1673.002368;0.942263
1678.373421;0.956525
1683.744474;0.887734
1689.264722;0.700319
1694.934167;0.275691
1700.603611;-0.348596
1706.252289;-0.882006
1711.708882;-1.24745
1717.11875;-1.30857
1722.528618;-1.19974
1727.938487;-1.13246
1733.348355;-1.14625
1738.758224;-1.30633
1744.168092;-1.4704
1749.674136;-1.51789
1755.378542;-1.3401
1761.088958;-0.88169
1766.793364;-0.411455
1772.299408;0.0468889
1777.709276;0.501247
1783.119145;0.93976
1788.532855;1.30907
1793.982105;1.5558
1799.44;1.58707
1804.897895;1.48194
1810.355789;1.36491
1815.813684;1.22216
1821.271579;1.028
1826.729474;0.833803
1832.187368;0.681085
1837.645263;0.605418
1843.103158;0.644358
1848.561053;0.718847
1854.018947;0.828883
1859.476842;1.01202
1864.934737;1.27617
1870.385934;1.47309
1875.616118;1.52175
1880.739145;1.28182
1885.862171;0.79481
1890.985197;0.37695
1896.108224;0.0875368
1901.23125;0.0352719
1906.354276;0.12924
1911.477303;0.233067
1916.600329;0.362564
1921.723355;0.537496
1926.846382;0.694617
1931.969408;0.764752
1937.092434;0.660937
1942.215461;0.298185
1947.338487;-0.0547069
1952.526316;-0.283103
1957.778947;-0.272371
1963.031579;0.0229498
1968.284211;0.286627
1973.536842;0.445531
1978.789474;0.400842
1984.042105;0.178253
1989.294737;-0.00482729
1994.547368;-0.114798
1999.8;-0.0884119
2005.052632;0.0209662
2010.257989;0.126373
2015.269;0.22781
2020.259;0.327251
2025.249;0.422723
2030.303089;0.514225
2035.620658;0.601756
2040.966711;0.687293
2046.312763;0.766886
2051.658816;0.83658
2057.004868;0.892422
2062.350921;0.930461
2067.696974;0.946745
2072.909375;0.931388
2077.988125;0.848818
2083.066875;0.681247
2088.145625;0.503777
2093.358026;0.30653
2098.704079;0.0598554
2104.050132;-0.23822
2109.394688;-0.477014
2114.689875;-0.58933
2119.961125;-0.462509
2125.232375;-0.126197
2130.509174;0.174527
2135.969079;0.404085
2141.517763;0.50121
2147.066447;0.48171
2152.592937;0.470106
2157.914125;0.48023
2163.185375;0.531849
2168.456625;0.601242
2173.732226;0.654816
2179.048077;0.676752
2184.373718;0.643338
2189.699359;0.576315
2195.025;0.513233
2200.350641;0.454095
2205.676282;0.400875
2211.001923;0.355551
2216.289424;0.328006
2221.420125;0.33405
2226.533875;0.391473
