Age_synchroBe;C14Be 
227;-2.83706
232.303;-2.62034
237.605;-2.37826
242.908;-2.0851
248.211;-1.68158
253.514;-1.15979
258.816;-0.743062
264.119;-0.528248
269.422;-0.525222
274.724;-0.880242
280.027;-1.3087
285.33;-1.31055
290.633;-0.836374
295.935;-0.572008
300.648;-0.772408
305.362;-1.09762
310.075;-1.32827
314.789;-1.44062
319.502;-1.42677
324.216;-1.22545
328.929;-1.01256
333.643;-0.847403
338.356;-0.741823
343.07;-0.695823
347.784;-0.733117
352.497;-0.703496
357.211;-0.498251
361.924;-0.143077
366.638;0.154502
371.351;0.360888
376.065;0.468175
380.778;0.399284
385.492;0.1977
390.205;0.0946664
394.919;0.173197
399.632;0.372023
404.346;0.708935
409.059;1.21161
413.773;1.65669
418.486;1.97503
423.2;2.17846
427.913;2.28084
432.627;2.22683
437.34;2.16662
442.054;2.15757
446.768;2.20556
451.481;2.30272
456.195;2.49054
460.908;2.70776
466.154;2.92868
471.457;3.13554
476.76;3.20181
482.062;2.9931
487.365;2.53118
492.668;2.05715
497.97;1.56511
503.273;1.15188
508.576;0.93408
513.878;1.00659
519.181;1.09072
524.484;1.06987
529.787;0.902524
535.089;0.602533
540.392;0.0572336
545.695;-0.549562
550.998;-0.905574
556.3;-0.828968
561.603;-0.556916
566.906;-0.178356
572.208;0.364028
577.511;0.864691
582.814;1.21888
588.117;1.38311
593.419;1.43842
598.722;1.30773
604.025;1.02069
609.327;0.780878
614.63;0.633747
619.933;0.567441
625.236;0.495
630.538;0.410493
635.841;0.321829
641.144;0.252727
646.446;0.209116
651.274;0.151471
655.987;0.0382852
660.701;-0.177874
665.415;-0.390278
670.128;-0.500101
674.842;-0.438169
679.555;-0.342829
684.269;-0.318835
688.982;-0.419547
693.696;-0.530331
698.409;-0.562247
703.123;-0.467855
707.836;-0.351911
712.55;-0.242078
717.263;-0.136384
721.977;-0.0545887
726.69;-0.0223864
731.404;-0.0615164
736.117;-0.12059
740.831;-0.189724
745.544;-0.278798
750.258;-0.38386
754.972;-0.518745
759.685;-0.705189
764.399;-0.881923
769.112;-1.02523
773.826;-1.11929
778.539;-1.15226
783.253;-1.08064
787.966;-0.851065
792.68;-0.657237
797.393;-0.611806
802.107;-0.787902
806.82;-0.972063
811.534;-1.08523
816.195;-1.07998
820.835;-1.00966
825.475;-0.884161
830.115;-0.659994
834.755;-0.428077
839.395;-0.259561
