AICCoxy;d18O_vostok
-71.87325124;-58.22
-63.94461006;-57.4831
-55.78357767;-57.0018
-46.22819804;-56.7828
-36.39941699;-56.9214
-26.32457467;-57.4392
-16.1882717;-57.1063
-5.928828736;-55.8421
4.385185153;-55.7055
14.90435947;-56.8445
25.48499442;-57.707
36.22967023;-57.6172
47.02902632;-57.4316
57.99242326;-57.2762
69.01050049;-56.6197
80.19261856;-57.2212
91.43597856;-57.2856
102.8849364;-56.962
114.3885746;-57.783
126.0146966;-57.5999
137.6954988;-57.9839
149.581899;-57.8945
161.5229794;-57.4676
173.5865436;-57.6943
185.6982265;-56.168
197.9739503;-56.0618
210.310916;-57.2976
222.8534795;-57.0231
235.3968313;-56.2769
246.967505;-55.8256
259.1793047;-57.1852
270.8028229;-57.8094
282.499093;-58.0625
294.72875;-57.9
307.0393438;-57.3011
319.5035;-57.5317
331.7576236;-58.0482
342.7524599;-58.1709
354.3391251;-56.9301
365.4124599;-56.4237
377.2198253;-56.9061
389.1946057;-57.1423
401.2210352;-56.8473
413.4243654;-56.9245
425.858309;-57.0108
439.5151154;-56.9333
453.3046684;-57.0296
467.0409238;-57.9945
480.3278207;-58.2562
495.7558551;-57.8853
510.3848482;-57.4446
525.2823497;-56.2298
540.9520718;-56.7148
555.4092143;-56.7219
569.9011607;-57.1225
584.5492143;-55.9204
599.1890901;-55.7318
613.4988516;-56.8866
627.1291183;-58.1132
641.7133036;-57.9178
656.5252755;-57.0858
672.234725;-55.8205
688.0948248;-54.7992
704.56725;-56.3309
720.9071969;-57.6761
736.2309834;-57.9896
751.547275;-57.847
767.0180167;-57.2947
782.5851106;-56.9739
798.58015;-56.9803
814.4714927;-56.8551
829.7880775;-56.7934
845.8433125;-56.6169
861.5961119;-56.5639
878.105092;-56.8553
893.9781249;-57.189
909.8748764;-57.5134
925.9491016;-57.4186
942.0564669;-56.688
958.2410078;-56.1095
974.5061886;-56.2119
991.394289;-56.8308
1008.354054;-56.3886
1025.316041;-57.9355
1041.54821;-57.6224
1058.692719;-57.578
1075.081929;-57.5357
1092.363117;-57.0024
1109.103768;-57.4585
1126.004538;-57.6083
1143.989645;-57.1976
1161.236912;-56.4874
1178.549682;-57.2285
1196.978162;-56.8147
1215.460262;-56.483
1233.187028;-56.7177
1251.789902;-56.6032
1270.760794;-55.4824
1289.728528;-55.9396
1307.911633;-56.4152
1326.876885;-57.216
1343.882503;-56.4295
1361.553689;-56.9029
1378.554583;-57.0542
1395.541098;-56.8324
1413.906727;-56.9439
1431.57115;-56.9589
1449.249903;-56.6832
1466.965783;-56.7579
1485.867278;-57.7952
1504.909767;-57.8101
1524.069146;-57.3255
1543.292153;-57.2055
1563.334759;-57.9655
1582.57655;-58.142
1602.741146;-56.8128
1623.089715;-57.0897
1642.884847;-57.4774
1663.511766;-57.4375
1683.475921;-57.2217
1704.24136;-57.1023
1724.476171;-57.2748
1744.619588;-57.5288
1765.766571;-57.231
1786.16165;-57.5815
1806.589842;-57.0014
1827.078779;-57.1883
1847.68779;-57.0704
1868.325382;-56.3729
1888.013842;-56.5154
1907.481342;-57.6167
1926.948843;-58.2322
1946.426588;-57.1836
1966.393263;-57.06
1986.468821;-57.1528
2006.614239;-57.5882
2025.966681;-58.0499
2046.312763;-57.1142
2066.959219;-56.7915
2086.82515;-56.7586
2107.374446;-56.7224
2127.923542;-57.1493
2149.299149;-56.7014
2170.144817;-56.9797
2190.988164;-57.1182
2211.900798;-56.7637
2232.169228;-56.8947
2252.360735;-57.4736
2273.402483;-56.7251
2293.448687;-56.8067
2313.234213;-56.9395
2333.049625;-57.195
2352.884963;-56.2857
2374.646;-56.7702
2396.8785;-56.9589
2419.111;-57.0088
2441.354617;-57.6209
2462.46595;-57.9064
2483.30829;-57.3152
2503.429762;-57.4537
2524.14099;-57.7282
2546.192048;-57.9135
2567.733136;-56.8246
2589.926718;-56.5703
2612.391618;-57.0293
2633.220945;-56.2999
2654.355758;-57.1628
2675.044375;-57.866
2696.277506;-57.5281
2719.259375;-57.0489
