AgeC14intcal;C14Intcal20
100;-2.330145001
105;-2.197817869
110;-2.145467972
115;-1.774102913
120;-1.259275196
125;-1.175555262
130;-1.139898279
135;-1.104423244
140;-1.436214654
145;-1.752221294
150;-1.860943092
155;-2.512475861
160;-2.797096503
165;-2.379653958
170;-1.770862965
175;-1.337816001
180;-1.415673704
185;-1.126620877
190;-0.6941022
195;-0.596927704
200;-0.739333788
205;-0.674429492
210;-0.338376672
215;-0.034418329
220;0.317246731
225;0.908141401
230;1.435022363
235;1.786168871
240;1.770048933
245;1.801634435
250;1.89690167
255;1.720667658
260;1.528294556
265;1.351714205
270;1.174964675
275;1.205527119
280;1.124199639
285;0.787336034
290;0.530104922
295;0.368466636
300;0.318383106
305;0.140448042
310;-0.117456118
315;-0.375527542
320;-0.649726086
325;-0.588925193
330;-0.687892034
335;-0.86682813
340;-0.790563269
345;-0.810226401
350;-0.478926568
355;-0.259513468
360;0.071457422
365;0.306503829
370;0.429663346
375;0.632461738
380;0.914899007
385;1.021611398
390;1.128160994
395;1.394152734
400;1.691907136
405;1.797979518
410;1.951757339
415;2.264994861
420;2.290770801
425;2.061037749
430;1.879010136
435;1.904323226
440;1.961397381
445;1.938510262
450;1.995265211
455;2.051860557
460;2.028494627
465;2.084786726
470;2.156863596
475;2.053233145
480;1.997340054
485;2.05299374
490;2.188305455
495;1.86060787
500;1.70833032
505;1.492043849
510;1.291569281
515;1.090943091
520;1.001886021
525;0.912677328
530;0.599872331
535;0.622081136
540;0.580298577
545;0.298960975
550;0.16111476
555;-0.136485146
560;-0.545956781
565;-0.780015084
570;-0.934420146
575;-1.168775312
580;-0.892548209
585;-0.408985191
590;0.010587835
595;0.525776479
600;0.881214721
605;1.04498052
610;1.176680411
615;1.3720764
620;1.55136522
625;1.331500442
630;1.031690349
635;1.003059105
640;1.101966893
645;0.993246692
650;0.676898501
655;0.424248004
660;0.378938211
665;0.285605368
670;-0.031314044
675;-0.555860168
680;-0.777301827
685;-0.998885533
690;-1.172728687
695;-1.171148614
700;-1.137788323
705;-0.944965139
710;-0.736320476
715;-0.559736933
720;-0.574814661
725;-0.637913843
730;-0.988437898
735;-1.355059546
740;-1.402611766
745;-1.338578905
750;-1.386405643
755;-1.322647299
760;-0.98770053
765;-0.764610169
770;-0.733181079
775;-0.877451329
780;-0.782450631
785;-0.81526827
790;-1.039743989
795;-1.36011578
800;-1.552938964
805;-1.57033094
810;-1.380372636
815;-1.142667397
820;-1.096617044
825;-1.082619831
830;-1.068755088
835;-1.055021221
840;-1.009499155
845;-0.756623618
850;-0.47195669
855;-0.426825653
860;-0.509508165
865;-0.305033937
870;0.15467684
875;0.518495374
880;0.626821356
885;0.719057724
890;0.875007747
895;1.078709494
900;0.771554456
905;0.560033741
910;0.539910951
915;0.37601747
920;0.100276519
925;-0.143670329
930;-0.531386591
935;-0.647900224
940;-0.636858865
945;-0.386535385
950;0.02326631
955;-0.157588379
960;-0.976979974
965;-0.966557876
970;-0.780694994
975;-1.025884034
980;-1.111592626
985;-0.894177759
990;-0.804566866
995;-0.810839277
1000;-0.849153656
1005;-0.871628999
1010;-0.862304972
1015;-0.773298975
1020;-0.620571344
1025;-0.35624267
1030;-0.060111754
1035;0.251860433
1040;0.467950592
1045;0.572200303
1050;0.500768231
1055;0.285575043
1060;0.006423177
1065;-0.288807066
1070;-0.504352977
1075;-0.624251797
1080;-0.632546382
1085;-0.577116141
1090;-0.442000739
1095;-0.275079582
1100;-0.092312526
1105;0.074378323
1110;0.209034068
1115;0.279733561
1120;0.254557729
1125;0.149464833
1130;0.028298922
1135;0.018741874
1140;0.232516508
1145;0.350417093
1150;0.404363024
1155;0.362435225
1160;0.671521464
1165;1.283743929
1170;1.72028461
1175;1.246988875
1180;-0.583053386
1185;-0.210678037
1190;-0.157621736
1195;-0.439841306
1200;-0.163558342
1205;0.064733014
1210;0.532321812
1215;0.87211733
1220;0.94048023
1225;1.088536272
1230;1.364168054
1235;1.43220696
1240;1.611866059
1245;1.344519287
1250;1.15687204
1255;1.400046886
1260;1.467552716
1265;1.407270533
1270;1.330921082
1275;1.222545623
1280;1.082145754
1285;0.877799209
1290;0.593545655
1295;0.293228023
1300;-0.03911338
1305;-0.371559803
1310;-0.640266396
1315;-0.813314725
1320;-0.77898245
1325;-0.553228309
1330;-0.311615979
1335;-0.102026146
1340;-0.052141322
1345;-0.241762384
1350;-0.527248077
1355;-0.685151644
1360;-0.715473088
1365;-0.698012482
1370;-0.648733354
1375;-0.663392921
1380;-0.726035637
1385;-0.82069638
1390;-0.883537004
1395;-0.866673315
1400;-0.865868914
1405;-1.024766811
1410;-1.231641473
1415;-1.454575423
1420;-1.629725728
1425;-1.66132719
1430;-1.549389385
1435;-1.293901141
1440;-1.198113598
1445;-1.214142562
1450;-1.054705206
1455;-0.719798338
1460;-0.464788904
1465;-0.353518241
1470;-0.33810375
1475;-0.578148775
1480;-0.658684622
1485;-0.420107948
1490;-0.101824088
1495;0.008882761
1500;0.119496432
1505;0.357699794
1510;0.292564073
1515;0.147534909
1520;-0.029507334
1525;-0.094919168
1530;-0.208303139
1535;-0.593105204
1540;-0.802432969
1545;-0.979932636
1550;-1.173482014
1555;-1.015995011
1560;-0.954359392
1565;-0.813013075
1570;-0.847318218
1575;-0.881714334
1580;-0.788515558
1585;-0.679445825
1590;-0.746029148
1595;-0.621174644
1600;-0.592171525
1605;-0.72285953
1610;-0.694030378
1615;-0.808933614
1620;-0.780278429
1625;-1.007076376
1630;-1.058398428
1635;-1.0778844
1640;-1.03361522
1645;-1.069233899
1650;-1.025137091
1655;-0.757678596
1660;-0.522226955
1665;-0.254940832
1670;0.123984957
1675;0.630508193
1680;0.993305745
