Age Synchro C14;Diff AICC;Diff volcanoWD;Diff volcanoPS1
226.043;-2.262;-1.712;23.871
236.9;-3.421;-6.32;22.22
247.737;-4.327;-8.074;20.87
258.591;-5.215;-12.252;19.089
269.893;-5.656;-14.952;17.846
281.205;-6.357;-15.137;16.517
292.518;-7.33;-16.951;15.235
303.83;-8.302;-19.494;14.406
315.154;-9.264;-23.688;12.972
326.926;-9.299;-24.808;11.925
338.712;-8.843;-27.506;11.541
350.493;-8.392;-31.154;9.742
362.28;-7.935;-32.588;7.92
374.07;-7.926;-34.244;5.873
386.318;-7.911;-35.642;4.154
399.349;-7.112;-37.522;2.218
413.127;-5.567;-36.679;0.508
426.924;-4.641;-34.609;-1.123
441.566;-3.509;-33.026;-2.189
457.084;-1.501;-31.621;-1.878
473.183;1.088;-26.783;-1.485
489.291;2.913;-22.704;-0.844
505.406;3.973;-19.508;3.12
522.092;5.605;-15.642;6.277
538.208;6.665;-12.193;9.593
554.219;7.864;-9.996;12.515
568.997;8.072;-9.225;12.932
582.221;6.726;-10.42;10.166
595.418;5.353;-11.328;8.977
608.625;4.169;-14.03;8.863
622.23;3.561;-11.827;8.767
635.699;2.818;-15.791;8.572
648.701;1.607;-15.927;8.317
662.159;-0.165;-15.891;8.406
676.069;-2.502;-17.703;8.802
689.754;-5.065;-18.496;7.769
703.217;-7.849;-20.524;6.623
716.906;-10.006;-22.379;4.552
730.821;-11.536;-21.945;4.598
744.741;-13.061;-23.735;4.976
758.661;-14.586;-25.831;5.695
772.58;-16.299;-28.061;5.147
786.505;-18.191;-29.303;4.318
800.886;-19.628;-29.97;3.49
815.264;-21.067;-31.604;2.15
829.653;-22.674;-34.032;0.53
844.034;-24.469;-36.107;-1.187
858.424;-26.253;-36.731;-3.46
873.266;-27.586;-36.902;-5.547
888.113;-28.951;-37.835;-8.917
902.969;-30.342;-38.028;-12.931
919.014;-30.545;-38.215;-15.413
936.739;-29.067;-36.932;-15.639
955.803;-26.518;-35.17;-15.545
974.893;-24.211;-32.887;-14.811
993.989;-21.901;-30.731;-14.671
1013.67;-19;-29.2;-13.95
1033.36;-16.13;-27.18;-13.22
1053.04;-13.31;-24.39;-12.29
1072.73;-10.49;-21.67;-10.07
1092.42;-7.79;-20.63;-6.16
1112.69;-4.66;-18.29;
1132.38;-2.24;-15.82;
1152.08;0.06;-12.01;
1172.28;2.85;-5.83;
1191.04;3.62;-5.45;
1209.07;3.08;-4.31;
1227.62;3.05;-2.56;
1246.43;3.29;0.96;
1266.34;4.52;5.2;
1286.63;6.04;10.48;
1307.3;7.94;12.84;
1326.25;8.12;12.51;
1344.81;8.62;11.3;
1363.37;9.85;9.8;
