age;stackVKtr;stackVKtr_pm12percent;stackVKtr_pm8percent;Mean_conc_plus_trend1.35
7101;0;0;0;0
7096;2.034497809;2.414615151;1.656528637;2.963272474
7091;3.265738055;3.882348915;2.652611869;4.772358464
7086;3.944613756;4.692603384;3.200851267;5.772243647
7081;4.365460219;5.195596699;3.540015117;6.393806854
7076;4.213835898;5.011476279;3.420703274;6.425353253
7071;3.918039689;4.654607722;3.1856343;6.292419415
7066;3.836945611;4.556270616;3.121685821;6.338587823
7061;3.856557213;4.579205041;3.137993387;6.467285159
7056;3.689611229;4.377845755;3.005266224;6.420707095
7051;2.757068486;3.25574431;2.261210903;5.674055092
7046;2.280806539;2.682447919;1.881435016;5.339202379
7041;2.052202387;2.407036266;1.699373837;5.226960598
7036;1.938357518;2.269667202;1.608920216;5.216800197
7031;1.660119156;1.934599023;1.387190519;5.050508034
7026;1.44907592;1.680363942;1.219095045;4.944285834
7021;1.330337689;1.5371608;1.124683472;4.921886598
7016;1.255664867;1.446970588;1.065440349;4.938656221
7011;1.831176391;2.138777114;1.525314089;5.537982061
7006;3.035833602;3.587276351;2.487507295;6.700738603
7001;3.677489076;4.35866162;3.000166114;7.356892111
6996;4.038666191;4.792725681;3.288868189;7.759997359
6991;4.278900624;5.081342944;3.480993219;8.053144112
6986;4.870264791;5.792278505;3.953461735;8.65523911
6981;5.264865175;6.266575564;4.268815839;9.081498609
6976;5.530398359;6.585652922;4.481107445;9.392086311
6971;5.734074645;6.830344547;4.644000185;9.646642298
6966;6.440118629;7.679247842;5.207992217;10.34925055
6961;7.230585986;8.629697112;5.839381782;11.12632058
6956;7.722168223;9.220683505;6.232121637;11.63526858
6951;8.068874256;9.637434504;6.509178557;12.01374819
6946;8.26449876;9.872486543;6.665598338;12.2539589
6941;8.148423505;9.732662322;6.573137798;12.2069298
6936;8.171755911;9.760512354;6.591978089;12.28798906
6931;8.270319197;9.878850344;6.670878415;12.43780503
6926;8.401729958;10.0367011;6.775998601;12.61723962
6921;7.639711788;9.120023629;6.167765713;11.98385938
6916;7.055565877;8.417280926;5.70154638;11.51157396
