age_C14;BeVKn;BeEDMLn;BeWDnorm;BeDFnorm;BeSPnorm;BeSDnorm;BeODCnorm;BeDA Norm ;BeLDCNorm;BeEDCNorm;BeSPInorm;number_sites;stackVK
237;0.901441764;;1.002218717;0.883492383;0.822514811;0.920608088;;0.862275339;0.777527072;0.901592531;;8;0.883958838
259;1.056131;;1.12436058;1.109690435;1.119070595;1.118666107;;1.223162942;0.867717817;1.019216827;1.049249299;9;1.076362845
281;1.032731787;;1.074706532;1.146791871;1.222526711;1.015242253;;1.140813268;0.919700034;1.12964985;1.203328188;9;1.098387833
303;1.018579611;;0.852000803;1.2155607;1.154450552;1.167212203;;1.038569541;1.056089038;1.110684975;1.197908044;9;1.090117274
325;0.960851652;;0.851726757;1.074460201;0.974955242;1.120500608;;0.895290449;1.110490798;0.986240175;1.225006443;9;1.022169147
347;0.965941371;;0.95149866;0.911900431;0.896794679;1.049367808;;0.906540863;0.922377623;0.903971035;0.960152496;9;0.940949441
369;1.043393793;;0.964773516;1.004581021;1.080496146;1.093682591;;0.980794055;0.956713273;0.995491879;0.927006147;9;1.005214713
391;0.988837048;;1.082639809;0.959790931;1.157138604;1.166970708;;1.143757762;0.882534054;0.973984475;0.991599883;9;1.038583697
413;1.113473069;;1.023669966;1.101332643;1.227794473;1.274337671;;1.372691732;0.966602868;1.069231066;1.02546989;9;1.130511486
435;1.198060985;;0.922276033;1.164923263;1.139127306;1.199289339;;1.470483422;0.933791495;1.039652033;1.261286021;9;1.147654433
457;1.204550075;;1.088500526;1.267953376;1.105100074;1.319378072;;1.266716137;1.116328057;1.203509349;1.270331762;9;1.204707492
479;1.315169262;;1.187847618;1.389283437;1.150203708;1.345289239;;1.367058041;1.209412856;1.352508101;1.204402833;9;1.280130566
501;1.317941055;;1.132795764;1.363804326;1.42846558;1.278775792;;1.421643498;1.06459625;1.294687228;1.31652036;9;1.291025539
523;1.162394995;;1.063647927;1.20261456;1.155593655;1.189755445;;1.391329137;0.991028114;1.263204383;1.24904447;9;1.18540141
545;1.184027474;;0.932831253;1.116813386;1.114068939;1.220498361;;1.093430344;1.106193845;1.028081786;1.186763046;9;1.109189826
567;0.994984558;;0.963981663;0.867970029;0.98480643;1.100383232;;0.960973147;1.12094327;0.969305434;0.955753904;9;0.991011296
589;1.054213113;;1.02700481;0.875160292;0.858810574;1.256793946;;1.038448521;1.152470108;0.900281223;0.868069109;9;1.003472411
611;1.191814244;;1.167197527;1.144865626;0.891322733;1.206829627;;1.132127457;1.145471693;1.185055918;1.046802972;9;1.123498644
633;1.128264052;;1.155239093;1.174217164;1.135393757;1.153124998;;1.378159086;0.947122741;1.079145783;1.269360411;9;1.157780787
655;1.105469921;;1.164444072;1.101927227;1.045472377;1.184042663;;1.308074864;1.004351668;0.994172283;1.225947092;9;1.12598913
677;1.039825416;;0.953133281;0.943269687;0.960835201;0.9463166;;0.975711111;0.748537327;1.080866388;1.133057396;9;0.975728045
