age;intcal20_detrended
100;-14.5996
105;-13.7705
110;-13.4425
115;-11.1157
120;-7.89003
125;-7.36548
130;-7.14207
135;-6.9198
140;-8.99865
145;-10.9786
150;-11.6598
155;-15.742
160;-17.5253
165;-14.9098
170;-11.0954
175;-8.38213
180;-8.86995
185;-7.05888
190;-4.34892
195;-3.74007
200;-4.63232
205;-4.22566
210;-2.12011
215;-0.215649
220;1.98772
225;5.68999
230;8.99118
235;11.1913
240;11.0903
245;11.2882
250;11.8851
255;10.7809
260;9.57558
265;8.46921
270;7.36178
275;7.55327
280;7.04371
285;4.93308
290;3.32139
295;2.30864
300;1.99484
305;0.879982
310;-0.735925
315;-2.35288
320;-4.07088
325;-3.68993
330;-4.31001
335;-5.43114
340;-4.9533
345;-5.0765
350;-3.00073
355;-1.62599
360;0.447719
365;1.92041
370;2.69207
375;3.96271
380;5.73233
385;6.40094
390;7.06853
395;8.73511
400;10.6007
405;11.2653
410;12.2288
415;14.1914
420;14.3529
425;12.9135
430;11.773
435;11.9316
440;12.2892
445;12.1458
450;12.5014
455;12.856
460;12.7096
465;13.0623
470;13.5139
475;12.8646
480;12.5144
485;12.8631
490;13.7109
495;11.6577
500;10.7036
505;9.34845
510;8.09237
515;6.83534
520;6.27735
525;5.71841
530;3.75852
535;3.89767
540;3.63588
545;1.87315
550;1.00947
555;-0.855152
560;-3.42071
565;-4.88721
570;-5.85464
575;-7.323
580;-5.59229
585;-2.56251
590;0.0663386
595;3.29427
600;5.52128
605;6.54736
610;7.37253
615;8.59679
620;9.72013
625;8.34256
630;6.46409
635;6.2847
640;6.90441
645;6.22322
650;4.24113
655;2.65814
660;2.37425
665;1.78947
670;-0.196199
675;-3.48276
680;-4.87021
685;-6.25855
690;-7.34777
695;-7.33787
700;-7.12885
705;-5.92071
710;-4.61344
715;-3.50705
720;-3.60152
725;-3.99687
730;-6.19309
735;-8.49017
740;-8.78811
745;-8.38691
750;-8.68657
755;-8.28709
760;-6.18847
765;-4.79069
