age;C14_mean_stack;C14_vostok
7101;0.564641157;-0.428537281
7096;2.306678465;0.190542067
7091;3.247978113;0.470399851
7086;3.639420426;0.537982608
7081;3.775328051;0.507763645
7076;3.341246826;-0.183589511
7071;2.765463066;-1.012015009
7066;2.406838249;-1.515389001
7061;2.151363424;-1.862781338
7056;1.711762859;-2.208580615
7051;0.508984957;-2.761985487
7046;-0.235105113;-3.158690756
7041;-0.729142701;-3.469699948
7036;-1.106038627;-3.73920022
7031;-1.64495794;-4.229374279
7026;-2.114324254;-4.661753635
7021;-2.489039884;-4.9985328
7016;-2.817356583;-5.288583616
7011;-2.493167532;-5.083492847
7006;-1.537523472;-4.401788032
7001;-1.142583868;-4.138541431
6996;-1.025837347;-4.082535777
6991;-1.027760199;-4.104693968
6986;-0.676291936;-3.441020702
6981;-0.519337968;-3.091668375
6976;-0.489213563;-2.951966384
6971;-0.518720236;-2.910215857
6966;-0.043645169;-2.480384735
6961;0.518055572;-1.990879522
6956;0.783061792;-1.74840301
6951;0.90537074;-1.624900841
6946;0.878765464;-1.688777231
6941;0.542616143;-2.224829448
6936;0.348018643;-2.520988279
6931;0.230784666;-2.686160567
6926;0.148519329;-2.791230336
6921;-0.825065217;-3.063890875
6916;-1.618679187;-3.286463507
6911;-2.077811557;-3.431603244
6906;-2.37956114;-3.540153745
6901;-0.951690615;-2.24602349
6896;2.139958381;0.418865082
6891;3.752281973;1.835369293
6886;4.627092196;2.629128443
6881;5.148798553;3.170278308
6876;5.098200742;5.215500285
6871;5.132574441;6.530030303
6866;5.237831541;7.357524549
6861;5.372348741;7.953342556
6856;3.763571745;5.476855423
6851;1.826138416;2.384208735
6846;0.840207291;0.867374826
6841;0.308386524;0.101598322
6836;-0.056215465;0.032721396
6831;-0.46954019;1.312259716
6826;-0.749605158;1.993028015
6821;-0.958598272;2.342950544
6816;-1.132376888;2.540730614
6811;-2.239216105;1.2444105
6806;-3.153856091;0.186898632
6801;-3.713859732;-0.365963725
6796;-4.105089696;-0.681562576
6791;-3.983963452;-1.059380417
6786;-3.398008787;-1.554277919
6781;-3.180192761;-1.865663015
6776;-3.143927836;-2.084447097
6771;-3.204308218;-2.251327926
6766;-3.924160186;-2.10138806
6761;-4.409042742;-2.056988216
6756;-4.729478652;-2.085249023
6751;-4.972045176;-2.145648133
6746;-3.74133881;-2.852948518
6741;-2.22057305;-3.684710124
6736;-1.469077895;-4.17342468
6731;-1.084810538;-4.496530312
6726;-0.853863447;-4.77704439
6721;-0.645105787;-5.14125151
6716;-0.508528656;-5.414963289
6711;-0.409787928;-5.63852854
6706;-0.330100704;-5.8364318
6701;-1.982154618;-4.759379435
6696;-3.311523979;-3.914071586
6691;-4.015289135;-3.523366962
6686;-4.425146286;-3.344847833
6681;-4.436040569;-3.231689509
6676;-4.123896846;-3.132154648
6671;-4.015124006;-3.083663665
6666;-4.006653852;-3.060279394
6661;-3.956001305;-2.961302203
6656;-0.184531778;0.899869634
6651;2.071147085;3.23916876
6646;3.296957268;4.54231376
6641;4.041692027;5.360518202
6636;5.234615742;7.159769598
6631;6.444912029;9.075318464
6626;7.232612765;10.27550687
6621;7.813904062;11.12817438
6616;7.771969477;11.41988373
6611;5.905512857;10.29246446
6606;5.022378336;9.880929977
6601;4.674232761;9.857850876
6596;4.571754562;10.01029494
6591;2.275325121;7.71852811
6586;0.471391185;5.941807814
6581;-0.464898215;5.100566173
6576;-0.992440896;4.69794161
6571;-0.639916303;5.899651735
6566;0.481892816;8.575003912
6561;1.028815831;10.0318045
6556;1.29087183;10.88109961
6551;1.373006531;11.36019874
6546;-0.754841005;7.917607634
6541;-2.042672454;5.937249313
6536;-2.752150626;4.963756326
6531;-3.190676414;4.458442652
6526;-3.502979844;3.399717667
6521;-3.752619491;2.299782737
6516;-3.968185466;1.671127166
6511;-4.164450539;1.270860687
6506;-4.230744288;1.096505221
6501;-3.888751487;1.371056729
6496;-3.768124108;1.450548927
6491;-3.766341041;1.424913165
6486;-3.817573113;1.353717076
6481;-3.488609262;1.483663026
6476;-3.245685848;1.565451905
6471;-3.152946945;1.566171514
6466;-3.129601921;1.530675322
6461;-3.536747803;1.625078227
6456;-4.350287217;1.856538031
6451;-4.808685616;1.955564361
6446;-5.089020723;1.989848305
6441;-5.278291786;2.003684866
6436;-5.119486195;2.372825678
6431;-5.063603006;2.588527118
6426;-5.080346193;2.701538599
6421;-5.129165311;2.767219923
6416;-4.325985751;1.972088548
6411;-3.364503834;1.008847043
6406;-2.874341;0.497229229
6401;-2.609007426;0.202444823
6396;-1.929952429;0.404572731
6391;0.457781476;1.996309155
6386;1.817776834;2.847484856
6381;2.617338161;3.294129241
6376;3.154377466;3.553787728
6371;1.095678677;2.164966946
6366;-0.553606816;1.03293796
6361;-1.332464532;0.451637535
6356;-1.704578872;0.129063888
6351;-2.335080062;-0.694615711
6346;-3.316332929;-2.071989748
6341;-3.851041112;-2.8575968
6336;-4.162736604;-3.346721149
6331;-4.367758253;-3.669068616
6326;-4.481098804;-2.797999771
6321;-4.58377713;-2.344324409
6316;-4.682398847;-2.179025876
6311;-4.776767528;-2.145252754
6306;-3.227784697;-1.803477674
6301;-1.365753598;-1.418487315
6296;-0.390834974;-1.243859272
6291;0.16036975;-1.168855693
6286;1.747312433;-0.353180289
6281;7.42416564;3.109745478
6276;10.66593024;5.039102208
6271;12.57876102;6.131574584
6266;13.86880706;6.833379368
6261;12.15945227;8.119261226
6256;10.81782609;9.167401384
6251;10.38553077;9.887176542
6246;10.37313208;10.44797085
6241;8.705681262;9.232972475
6236;5.309118952;6.307653554
6231;3.617654258;4.89284486
6226;2.773863093;4.228301028
6221;2.318584397;3.867354164
6216;1.794557343;1.810133166
6211;1.464327821;0.579354593
6206;1.250644639;-0.102979764
6201;1.095230277;-0.526689374
6196;2.180354901;0.805593254
6191;3.511402719;2.507562375
6186;4.196488255;3.355641273
6181;4.574532454;3.797700193
6176;4.762327838;4.233534391
6171;4.71859496;5.195538544
6166;4.738672219;5.766488651
6161;4.795621005;6.126369321
6156;4.869362894;6.386991381
6151;4.041907384;4.910275044
6146;3.391529179;3.732254419
6141;3.075210142;3.159298388
6136;2.916442453;2.870073604
6131;2.573246023;2.167178738
6126;2.011800309;0.990447444
6121;1.702956478;0.338597036
6116;1.521274483;-0.050491543
6111;1.400175837;-0.299052377
6106;1.288957939;0.199067317
6101;1.202591309;0.452431155
6096;1.131759221;0.535385871
6091;1.070215151;0.541495183
6086;0.803617269;0.922465685
6081;0.501919605;1.366396553
6076;0.319006796;1.583128982
6071;0.194649647;1.692248521
6066;-0.288419109;1.203188413
6061;-2.071739524;-1.171053295
6056;-3.09443047;-2.491517306
6051;-3.700416102;-3.235155346
6046;-4.109966178;-3.709041012
6041;-4.541068679;-4.48781475
6036;-4.901613269;-5.12020672
6031;-5.192949503;-5.560535976
6026;-5.447893751;-5.906720137
6021;-5.178647415;-5.576222036
6016;-4.40104138;-4.601059312
6011;-4.069072905;-4.178523642
6006;-3.95656688;-4.028685635
6001;-3.83500003;-3.978148473
5996;0.913823677;-2.91644832
5991;3.75972275;-2.310095134
5986;5.314699516;-2.007616979
5981;6.266642786;-1.846454303
5976;4.09006291;-2.255067337
5971;1.239446182;-2.789945464
5966;-0.135240234;-3.066180383
5961;-0.806733361;-3.218737888
5956;-1.335633135;-3.501275832
5951;-2.330805324;-4.392807413
5946;-2.900028961;-4.907188263
5941;-3.240054823;-5.215680304
5936;-3.47077785;-5.42708017
5931;-1.644131528;-4.777136044
5926;-0.171765243;-4.258711742
5921;0.58416018;-4.024820095
5916;1.005129585;-3.923107688
5911;2.370497063;-2.762007001
5906;4.744118086;-0.527420079
5901;6.088093197;0.681863889
5896;6.918066741;1.380044328
5891;7.505602581;1.865083687
5886;7.937921284;3.340289157
5881;8.327290802;4.314126736
5876;8.695679356;4.955257871
5871;9.050252907;5.437649666
5866;8.598307076;5.072653855
5861;7.988083628;4.52219699
5856;7.803769471;4.367207131
5851;7.820916021;4.398434187
5846;7.527120747;4.164915243
5841;5.908418985;2.785648445
5836;5.089184395;2.098224206
5831;4.704726301;1.786378067
5826;4.522865434;1.648917446
5821;3.370344869;1.599663202
5816;2.467940954;1.588475209
5811;1.979164854;1.594534141
5806;1.687115098;1.609819438
5801;1.051809859;0.904746939
5796;0.033384766;-0.510512479
5791;-0.564122399;-1.267027611
5786;-0.94930739;-1.694110974
5781;-1.273923784;-2.011785636
5776;-3.335256316;-4.204338763
5771;-4.648027176;-5.573477002
5766;-5.453166309;-6.386957387
5761;-6.017289119;-6.937744455
5756;-5.965746211;-6.826747212
5751;-5.76008869;-6.550831068
5746;-5.791810914;-6.530879965
5741;-5.93253697;-6.629344801
5736;-5.94081169;-6.849029755
5731;-5.36064566;-7.327262866
5726;-5.131731095;-7.676404036
5721;-5.091255885;-7.951930635
5716;-5.135889668;-8.190671846
5711;-4.676547865;-8.824316432
5706;-4.336542648;-9.366951921
5701;-4.20052952;-9.749862101
5696;-4.159181736;-10.05503808
5691;-3.991871834;-9.539068226
5686;-3.677778161;-8.232866922
5681;-3.525173148;-7.621278339
5676;-3.452366795;-7.353969838
5671;-3.420878939;-7.208603128
5666;-3.602517292;-5.571219014
5661;-3.712883695;-4.598892758
5656;-3.772912024;-4.072410192
5651;-3.809223885;-3.754665129
5646;-4.484222737;-4.575647705
5641;-5.27598707;-5.640827216
5636;-5.711179808;-6.165371442
5631;-5.974850286;-6.43235784
5626;-6.017489153;-6.802514496
5621;-5.545466708;-7.870779286
5616;-5.324483474;-8.481686779
5611;-5.240345045;-8.843930342
5606;-5.218285151;-9.089104312
5601;-2.42042779;-6.593991967
5596;-0.169888978;-4.582682791
5591;1.050641363;-3.537117744
5586;1.786459222;-2.944621364
5581;2.611015699;-2.719191584
5576;3.636928788;-2.747597416
5571;4.321601144;-2.684955233
5566;4.833759314;-2.578072137
5561;5.231750788;-2.420057557
5556;4.304492106;-0.833755472
5551;3.869505412;0.180653892
5546;3.77121185;0.803743247
5541;3.826899646;1.242368151
5536;2.34869531;-0.338411858
5531;0.599144919;-2.327627461
5526;-0.265636194;-3.291288901
5521;-0.707245457;-3.765869087
5516;-1.267618017;-4.129777122
5511;-2.807144366;-4.780407623
5506;-3.687159639;-5.155115079
5501;-4.207983438;-5.381335859
5496;-4.558636393;-5.536468559
5491;-4.456118013;-6.222726817
5486;-4.381703468;-6.782338422
5481;-4.418975295;-7.124246389
5476;-4.505393821;-7.361778431
5471;-3.2080989;-6.803376495
5466;-0.537357747;-5.486180956
