WD2014;DIF bottom
5400;-16.14
5420;-14.08
5440;-11.23
5460;-9.72
5480;-6.13
5500;-1.24
5520;0.26
5540;1.3
5560;1.39
5580;3.35
5600;4.72
5620;4.84
5640;4.43
5660;2.87
5680;2.35
5700;0.85
5720;1.03
5740;4.1
5760;3.5
5780;4.71
5800;6.4
5820;7.88
5840;7.52
5860;7.27
5880;7.01
5900;5.3
5920;3.49
5940;3.4
5960;7.61
5980;12.44
6000;14.1
6020;16.16
6040;17.9
6060;18.31
6080;16.04
6100;16.25
6120;16.57
6140;17.09
6160;16.27
6180;14.47
6200;12.89
6220;11.33
6240;9.14
6260;6.81
6280;4.23
6300;1.43
6320;1.33
6340;2.84
6360;4.8
6380;6.31
6400;4.26
6420;-0.19
6440;-0.7
6460;-1.88
6480;-2.18
6500;-1.95
6520;-1.72
6540;-2.43
6560;-2
6580;-2.1
6600;-3.12
6620;-3.19
6640;-3.64
6660;-4.99
6680;-7.05
6700;-6.34
6720;-5.66
6740;-7.02
6760;-7.68
6780;-7.33
6800;-6.77
6820;-5.82
6840;-5.15
6860;-5.01
6880;-3.52
6900;-1.42
6920;-0.38
6940;-0.35
6960;-1.87
6980;-5.15
7000;-6.46
7020;-6.12
7040;-5.17
7060;-2.51
7080;-0.19
7100;3.08
7120;4.9
7140;5.15
7160;5.48
7180;5.73
7200;4.75
7220;3.85
7240;3.73
7260;3.84
