WD2014;DIFtop
1280;-0.64948
1300;-3.83143
1320;-6.42257
1340;-6.74261
1360;-5.04943
1380;-1.71236
1400;-3.19833
1420;-3.06686
1440;-3.50316
1460;-4.96486
1480;-5.81661
1500;-6.85623
1520;-8.49518
1540;-9.46705
1560;-10.1486
1580;-10.6616
1600;-8.35886
1620;-8.40829
1640;-8.47861
1660;-8.14894
1680;-4.77062
1700;-3.81612
1720;-1.85873
1740;-0.974732
1760;-1.46333
1780;-2.31948
1800;-5.59814
1820;-4.38965
1840;-5.62837
1860;-6.57826
1880;-8.70307
1900;-12.7596
1920;-13.92
1940;-13.2498
1960;-12.0547
1980;-11.0951
2000;-10.4166
2020;-11.4101
2040;-9.69499
2060;-9.58576
2080;-7.41277
2100;-6.24938
2120;-4.68727
2140;-3.91069
2160;-1.6258
2180;-0.982011
2200;-0.966341
2220;0.409027
2240;2.00919
2260;1.27332
2280;1.21036
2300;3.35076
2320;5.49129
2340;4.22242
