age_synchro;FluxVK;FluxEDML;FluxWD;FluxDF;FluxPS1;FluxSD;FluxODC;FluxDA;FluxLDC;FluxEDC;FluxSPI
237;44.54691809;;84.85756259;77.48416931;87.90023329;89.48340616;;58.02094791;33.58437949;47.96479962;
259;53.38954896;;83.49987066;84.87732321;119.5924561;108.7347101;;82.30442195;37.48006402;54.40134075;87.39660962
281;51.34871045;;108.0762306;86.74353508;130.6485691;98.6818778;;76.76326132;39.72537555;58.89326046;100.230521
303;50.94668334;;77.57658029;102.3929147;123.3734292;113.4534065;;69.88346589;45.61654029;57.76995472;99.77905323
325;51.73019973;;76.65979956;84.41516772;104.1911854;108.9130242;;60.24247496;47.96636118;51.12582429;102.0361986
347;54.71893983;;89.63749762;78.37666102;95.83834895;101.9988929;;60.99949498;39.84103094;46.66913489;79.97534321
369;56.47296126;;102.1735976;82.41559713;115.4700949;106.3063042;;65.99585796;41.32411948;49.69544867;77.21443737
391;52.36828695;;104.7717804;98.73040915;123.6606951;113.4299331;;76.96139101;38.12003421;49.62716303;82.59473501
413;57.7403915;;91.33464318;91.21610428;131.2115225;123.8660369;;92.36594377;41.75128906;55.92556108;85.41591757
435;59.52543249;;86.22846036;100.285773;121.7358698;116.5713145;;98.94616971;40.33403989;54.38123246;105.0580849
457;57.44479519;;94.56721847;97.80693758;118.0994591;128.2439786;;85.23503769;48.21849482;63.06362915;105.8115447
479;61.42434292;;99.98282388;94.86528043;122.919579;130.7625524;;91.98686287;52.23918468;70.57996198;100.3200329
501;60.96061611;;97.96271339;110.6881049;152.6567741;124.2974237;;95.65981956;45.98399944;66.58474648;109.658797
523;54.40322725;;90.51419645;103.1544822;123.49559;115.644617;;93.62002102;42.80630921;64.72613854;104.038432
545;57.24388476;;77.02440806;89.71178235;119.0579407;118.6328384;;73.57495008;47.78075928;52.73245983;98.85073713
567;49.46577748;;97.31660963;94.95115183;105.2439589;106.9576087;;64.6621449;48.41784357;51.81823588;79.60896507
589;54.11096443;;103.898756;82.0171483;91.77907653;122.1607811;;69.87532267;49.77960876;48.62436958;72.30531115
611;62.07176057;;102.7410775;96.66883871;95.25357491;117.304233;;76.17880881;49.47732036;65.62331197;87.19284422
633;57.3788526;;107.7386601;105.5757166;121.3368741;112.0841256;;92.73383216;40.90986758;60.06151258;105.7306365
655;53.11456679;;101.4611517;97.30913519;111.7271866;115.0893327;;88.01799159;43.38180466;53.18294236;102.1145494
677;48.72880117;;91.73715182;84.46837971;102.6822098;91.98228188;;65.6538358;32.33220108;54.58696025;94.37735625
699;49.44381147;;73.96110913;86.4475107;102.6192913;94.22065817;;65.35810291;;52.37111463;83.12711227
721;53.10388987;;88.18998769;73.59179182;89.37667505;93.12104906;;57.21532689;;53.4767569;87.91931402
743;55.93630473;;75.53866169;79.3532648;80.4063962;102.5582534;;55.19750775;;45.42997829;80.54529593
765;52.84658747;;85.65072634;75.53076375;89.96156806;93.90461291;;59.37095488;;47.35819409;85.70289375
787;48.3693806;;70.34001477;79.9840304;93.89279126;94.02801287;;62.36289638;;49.70548197;84.28669786
809;48.40895812;;88.77777425;71.67741978;85.49169187;86.68342566;;55.46576262;;46.4414616;73.59981121
831;47.81401825;;91.87154046;81.15847069;90.52202627;89.84104911;;63.66534596;;44.68028742;79.88164907
853;52.18001005;;93.06307722;103.1880794;89.41563683;120.7721658;;71.88124236;;44.33508457;76.23328149
875;53.01690036;;102.3866076;89.33850517;111.1455192;114.1496984;;80.60146171;;45.88146263;82.97466283
897;57.50416657;;89.97170012;90.08026669;130.1491363;109.1780219;;90.17645434;;57.2086234;94.94837673
919;57.66458185;;89.5493484;80.34118653;100.0592697;116.552165;;79.67041339;;51.18917194;94.84490619
941;50.11443439;;97.80081423;72.04790152;100.7844314;90.92513371;;66.53322436;;48.56304197;92.67583084
963;46.77005449;;76.31065205;71.53117569;103.9701611;87.3551616;;64.03972527;;53.14913267;86.97216381
985;50.31372928;;75.44485753;78.08395324;86.17076042;91.44988444;;64.13069583;;51.33731601;86.33538288
1007;55.77201686;;71.70857646;84.77898714;97.61539931;104.6501739;;56.24252114;;41.40865911;78.00980655
1029;55.26779639;;85.46970039;83.41176794;105.1322655;93.37823503;;53.92810015;;42.80947042;75.37786317
1051;51.5625612;;75.72082831;76.05095401;104.0071355;93.42216496;;52.47138659;;43.38815796;90.26904336
1073;48.96497028;;79.27986779;67.51467598;97.82953064;96.8305742;;52.80579892;;;82.73638486
1095;48.63917884;;89.76365686;70.11864954;98.28209143;98.2335234;;57.27582716;;;81.31052166
1117;51.35095781;;73.08871829;74.98436264;;104.3529451;42.14523035;63.25816902;;;81.84752674
1139;51.07390256;;80.16617238;79.79942292;;110.1612604;42.86506635;62.45377929;;;83.03902802
