age_C14;stackVK;stackFluxVK
237;0.883958838;0.860542205
259;1.076362845;1.027174056
281;1.098387833;1.075140286
303;1.090117274;1.071712144
325;1.022169147;1.002962381
347;0.940949441;0.940451694
369;1.005214713;1.003144957
391;1.038583697;1.051989602
413;1.130511486;1.110736174
435;1.147654433;1.132763098
457;1.204707492;1.160714148
479;1.280130566;1.209186139
501;1.291025539;1.244095373
523;1.18540141;1.149077678
545;1.109189826;1.069243499
567;0.991011296;1.013095968
589;1.003472411;1.0123008
611;1.123498644;1.110551194
633;1.157780787;1.156972098
655;1.12598913;1.102982209
677;0.975728045;0.957879223
699;0.982230617;0.947080349
721;0.972774524;0.932186944
743;0.930373919;0.899662768
765;0.949817856;0.919125456
787;0.905282491;0.910014733
809;0.879899409;0.864554475
831;0.901336139;0.911185557
853;0.986078262;1.002777403
875;1.029754926;1.042786747
897;1.120583749;1.118021871
919;1.062260724;1.043940481
941;0.979299085;0.957762596
963;0.940073788;0.919640228
985;0.926944955;0.916011938
1007;0.923810268;0.913925164
1029;0.918779003;0.916876975
1051;0.921276468;0.905100223
1073;0.919840243;0.88455867
1095;0.920200652;0.912342
1117;0.957004816;0.938156455
1139;0.998746344;0.966613259
1161;0.949868337;0.960894585
1183;0.861968505;0.858120138
1205;0.871185908;0.87265112
1227;0.966913038;0.956410927
1249;1.1126389;1.091196264
1271;1.119682084;1.085018641
1293;1.08342455;1.062001411
1315;0.943584989;0.93580841
1337;0.957597993;0.975985118
1359;1.046485861;1.051021142
1381;1.021079204;1.016897001
1403;0.980430657;0.982235645
1425;0.914919672;0.921980504
1447;0.880251669;0.868643506
1469;0.93684206;0.924780179
1491;0.935026766;0.935807578
1513;1.056093721;1.052909548
1535;1.030835265;1.004386814
1557;0.91585562;0.897850562
1579;0.861351725;0.857429115
1601;0.896600303;0.889667962
1623;0.935811412;0.923764546
1645;0.885987445;0.882046436
1667;0.89294233;0.880040408
1689;1.025749724;1.017808352
1711;1.000669041;0.998901296
1733;0.928262937;0.907931935
1755;0.891375924;0.87346641
1777;0.879482912;0.857838744
1799;0.975177198;0.958256053
1821;1.060164058;1.070054607
1843;0.944633556;0.957307563
1865;0.968310507;0.962291703
1887;0.999873249;0.975434095
1909;0.888758688;0.877399968
1931;0.935288193;0.94155231
1953;0.936089495;0.931043601
1975;0.936412879;0.931761198
1997;0.844630098;0.847524525
2019;0.89977885;0.907285509
2041;0.924670931;0.921107684
2063;0.967597522;0.951215822
2085;0.939126531;0.938039681
2107;0.899362705;0.891710265
2129;0.931956143;0.932605494
2151;0.929109668;0.933321203
2173;0.890775489;0.921227196
2195;0.885856859;0.889931186
2217;0.93103498;0.938758639
2239;0.999925112;1.035317007
2261;1.117078922;1.135256254
2283;1.200428999;1.148830159
2305;1.244722009;1.218973104
2327;1.142617964;1.139943401
2349;0.9821399;0.973110307
2371;0.872269917;0.871612817
2393;0.870079561;0.87085921
2415;0.884212676;0.886206851
2437;0.882929133;0.885899227
2459;0.934325183;0.937818272
2481;0.926991145;0.930220785
2503;0.900362517;0.90098628
2525;0.893078204;0.894846575
2547;0.85643522;0.846163719
2569;0.896666978;0.875958732
2591;0.95073695;0.935897599
2613;1.007454712;1.010901223
2635;0.977933731;0.989057321
2657;1.038513011;1.044793894
2679;1.105159344;1.105378045
2701;1.116685957;1.112556123
2723;1.099038433;1.089569186
2745;1.111661814;1.096622854
2767;1.012400125;1.003533482
2789;0.890254332;0.89694754
2811;0.864482328;0.881214302
2833;0.89216714;0.91294288
2855;0.937362182;0.953695662
2877;0.911906373;0.922428557
2899;0.874576366;0.873468281
2921;0.952014567;0.942444132
2943;0.959044233;0.957096659
2965;0.931006449;0.930953884
2987;0.930372424;0.932125851
3009;0.889092926;0.889535861
3031;0.954578837;0.948802598
3053;0.959259023;0.954475398
3075;0.959691036;0.959466843
3097;0.944746521;0.946826283
3119;0.978682025;0.982777529
3141;0.969537405;0.983516896
3163;0.912447536;0.934960382
3185;0.862690328;0.87376226
3207;0.892075187;0.894764014
3229;0.845897367;0.847530718
3251;0.869639294;0.871995586
3273;0.914418683;0.925052163
3295;0.931834724;0.953018608
3317;1.028795788;1.05888324
3339;1.091434561;1.122612337
3361;0.992690983;1.024465901
3383;0.936130456;0.974585859
3405;0.940332041;0.97652284
3427;0.941281267;0.959255255
3449;0.991404473;0.983507905
3471;0.976233334;0.96016764
3493;0.992217184;0.986419695
3515;0.970186634;0.980266978
3537;1.020041785;1.033965514
3559;1.059148846;1.077895184
3581;0.931882082;0.956397611
3603;1.003359984;1.046014312
3625;0.9817796;1.031867538
3647;0.893890682;0.931963975
3669;0.907876863;0.958290226
3691;0.954208434;1.003040752
3713;0.989638222;1.02323243
3735;0.988234425;1.011246944
3757;0.931527822;0.94905714
3779;0.905631403;0.919993259
3801;0.992729136;1.004002166
3823;1.069245581;1.089267825
3845;1.009864373;1.037233198
3867;0.937193052;0.969552893
3889;0.947784188;0.98774527
3911;0.975936739;1.01174366
3933;1.000076604;1.019280791
3955;0.984586849;0.989415
3977;0.999836486;0.993860983
3999;0.996136624;0.991540188
4021;0.964479476;0.968006642
4043;1.005550588;1.00831258
4065;1.066284608;1.066719822
4087;1.020187942;1.029631619
4109;0.926079494;0.941011985
4131;0.934100689;0.938163286
4153;1.001050023;0.994835362
4175;0.995483584;0.987432568
4197;0.965319791;0.973185575
4219;0.951506284;0.987680553
4241;0.968061509;1.02299875
4263;0.888541423;0.9415011
4285;0.921474429;0.987057572
4307;0.919580945;1.009941078
4329;0.961065733;1.044101126
4351;0.954681379;1.019010114
4373;1.042609874;1.114408045
4395;1.073711552;1.146665382
4417;1.068881527;1.152095915
4439;0.978181827;1.060969102
4461;0.943338466;1.021354237
4483;1.014090284;1.089814752
4505;1.07899296;1.153779054
4527;1.026797972;1.104726979
4549;0.94656504;1.016951067
4571;0.996267092;1.047728345
4593;0.957156097;0.971339201
4615;0.921443814;0.917253507
4637;0.970747552;0.956514371
4659;0.948267982;0.940404752
