age;stackVKtr;stackFluxVKtr
7101;0;0
7096;2.034497809;-1.669763875
7091;3.265738055;-2.743164275
7086;3.944613756;-3.344580951
7081;4.365460219;-3.724259492
7076;4.213835898;-3.428171114
7071;3.918039689;-2.973067405
7066;3.836945611;-2.80159103
7061;3.856557213;-2.763972862
7056;3.689611229;-3.096291665
7051;2.757068486;-4.505756699
7046;2.280806539;-5.327253987
7041;2.052202387;-5.82593062
7036;1.938357518;-6.173222486
7031;1.660119156;-6.434041698
7026;1.44907592;-6.661260755
7021;1.330337689;-6.874124519
7016;1.255664867;-7.077853879
7011;1.831176391;-6.723150791
7006;3.035833602;-5.820570089
7001;3.677489076;-5.412623713
6996;4.038666191;-5.249801675
6991;4.278900624;-5.195999661
6986;4.870264791;-5.029490594
6981;5.264865175;-4.953978404
6976;5.530398359;-4.935412516
6971;5.734074645;-4.943676848
6966;6.440118629;-4.789444051
6961;7.230585986;-4.608412396
6956;7.722168223;-4.525808765
6951;8.068874256;-4.490566305
6946;8.26449876;-4.597097664
6941;8.148423505;-5.119688463
6936;8.171755911;-5.416323926
6931;8.270319197;-5.589485021
6926;8.401729958;-5.705340015
6921;7.639711788;-5.942596327
6916;7.055565877;-6.138553801
6911;6.803814617;-6.2737194
6906;6.707370527;-6.379761283
6901;8.338482221;-4.223731008
6896;11.63131932;0.149990433
6891;13.44278917;2.494838444
6886;14.51471499;3.827558323
6881;15.23151743;4.698378647
6876;15.3740073;5.811830567
6871;15.59947135;6.624927135
6866;15.89383251;7.250676836
6861;16.21547848;7.782434209
6856;14.79186593;6.010072871
6851;13.03764365;3.78316815
6846;12.23298107;2.761657245
6841;11.8804972;2.313088153
6836;11.69331128;1.815096939
6831;11.45549258;0.3768934
6826;11.34903434;-0.396871274
6821;11.31175937;-0.811529536
6816;11.30782099;-1.057833695
6811;10.36895474;-1.112075825
6806;9.620431056;-1.147933034
6801;9.224697622;-1.203907512
6796;8.995902301;-1.267439499
6791;9.277638122;-0.727477169
6786;10.02238776;0.408290869
6781;10.39719458;0.998183346
6776;10.58865651;1.316689898
6771;10.6816897;1.490528304
6766;10.11347819;0.798516076
6761;9.778473263;0.402954595
6756;9.606162402;0.214342317
6751;9.50997856;0.121495278
6746;10.88533542;1.944655512
6741;12.54902963;4.141601777
6736;13.4417413;5.331444413
6731;13.96552331;6.038574323
6726;14.33429323;6.559051572
6721;14.6791919;7.104688293
6716;14.95023819;7.51968211
6711;15.18178616;7.863860653
6706;15.39262861;8.171394451
6701;13.87008777;7.265917128
6696;12.66859916;6.575114935
6691;12.09109223;6.311109264
6686;11.80588054;6.24534162
6681;11.91802868;6.844473344
6676;12.35162148;8.049755915
6671;12.58025971;8.754527988
6666;12.70702119;9.208509535
6661;12.87440059;9.610310358
6656;16.76104205;12.77317599
6651;19.13034745;14.77145046
6646;20.46824826;15.9802603
6641;21.32354719;16.81737539
6636;22.62551804;17.62622462
6631;23.94335381;18.37451158
6626;24.83709573;18.99406742
6621;25.52293923;19.54668167
6616;25.58407715;19.79891473
6611;23.81922259;19.13421397
6606;23.0362289;18.9647563
6601;22.78677211;19.0623041
6596;22.7815398;19.28003116
6591;20.58092247;17.40173646
6586;18.87137595;15.95577607
6581;18.02805832;15.30355667
6576;17.59208078;15.02319837
6571;18.03477287;14.61945517
6566;19.24536079;14.00609295
6561;19.87968283;13.70041533
6556;20.22776696;13.54853901
6551;20.39456775;13.41922968
6546;18.35003308;11.14539042
6541;17.14417006;9.769243745
6536;16.51532463;9.002308371
6531;16.15610462;8.522008557
6526;15.92178869;8.547602455
6521;15.74882692;8.710785272
6516;15.60863782;8.709433092
6511;15.48645721;8.632802766
6506;15.49296407;8.655586218
6501;15.90648215;9.110894869
6496;16.09736797;9.309276481
6491;16.1681511;9.369744163
6486;16.18466914;9.367843849
6481;16.58014155;9.487386994
6476;16.88834033;9.566571925
6471;17.04512974;9.586589779
6466;17.13130871;9.579612351
6461;16.78578848;9.190093439
6456;16.03267466;8.431156112
6451;15.63351;8.005738193
6446;15.41122495;7.747400195
6441;15.2788284;7.58573386
6436;15.49334107;8.23529982
6431;15.60377198;8.592742366
6426;15.6404252;8.748738195
6421;15.64385919;8.812107689
6416;16.49815654;9.3566669
6411;17.50962888;9.980658833
6406;18.04866269;10.31144704
6401;18.36175568;10.50195692
6396;19.08746639;11.06455846
6391;21.52076013;13.08093571
6386;22.92522724;14.23352734
6381;23.76818;14.91452983
6376;24.34753815;15.37441936
6371;22.33009332;13.62083409
6366;20.72100457;12.2168863
6361;19.98129402;11.55551361
6356;19.64728488;11.24091867
6351;19.0538545;10.50746751
6346;18.1086456;9.2796035
6341;17.60896206;8.611403574
6336;17.33127937;8.222413745
6331;17.15926614;7.953016494
6326;17.07793705;7.232581446
6321;17.00628062;6.751899862
6316;16.9376986;6.430132477
6311;16.87239475;6.185064205
6306;18.44947485;9.181779431
6301;20.33864293;12.8031552
6296;21.33974549;14.69584085
6291;21.91618832;15.76181271
6286;23.52743046;17.72747914
6281;29.22765163;23.87053524
6276;32.49185982;27.43215679
6271;34.42621692;29.58553973
6266;35.73687906;31.07631048
6261;34.04723719;27.99805648
6256;32.72442776;25.57032331
6251;32.31005998;24.60941648
6246;32.31470658;24.32871027
6241;30.66342572;22.96528219
6236;27.28216491;20.37347685
6231;25.60514012;19.10466859
6226;24.77493409;18.49253518
6221;24.33239256;18.2160887
